stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0
 24-34,0,0,0,3.28,0.82,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0.82,4.93,0,0.82,0,5.75,0,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0.81,0,0.81,8.06,0,0.81,0,5.64,0,1.61,0,0.81,0
 48-58,0,0,0,0,2.87,0,1.72,0,0,0,0,0,0,0,0,0,3.44,1.15,0.57,9.18,0,0.57,0,1.72,0,0.57,0,0,0
 60-70,0,0,0,2.94,1.96,0,3.93,0.98,0.98,0,0,0,0.98,0.98,0,0.98,5.89,0,0,9.82,0,0,0,0,0,2.94,0,0,0.98
 72-82,0,0,0.98,1.96,19.63,0.98,4.91,0,0,0.98,1.96,0,0,0,0,0.98,6.87,2.94,0.98,14.72,0.98,0,0,2.94,0.98,0,0.98,0.98,0
 84-94,0,0,0,2.12,14.87,2.12,2.12,1.06,0,0,6.37,1.06,0,1.06,0,0,9.56,6.37,0,1.06,0,2.12,0,4.25,0,0,1.06,3.19,1.06
 96-106,0,0,0,4.37,12.02,17.49,10.93,0,0,0,3.28,0,3.28,1.09,1.09,0,6.56,12.02,1.09,9.84,0,2.19,0,7.65,0,0,0,0,0
108-118,0,0,0,9.96,5.36,62.04,11.49,0.77,0,2.3,3.06,0,0.77,1.53,3.83,0,18.38,6.13,0,6.13,0,3.06,0,5.36,0,0,0,0.77,0
120,0,0,0,9.8,5.88,13.72,0,1.96,0,0,7.84,0,1.96,11.76,0,1.96,11.76,5.88,0,7.84,3.92,0,0,7.84,0,0,0,0,0
