stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,395.34,5337.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0
  5-6,655.87,8287.27,0,12.26,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,183.89,18.39,0,0,42.91,134.85,0,0,0,0,0,0,0,0,0,0
  7-9,68.35,168.24,0,276.01,0,0,0,491.57,0,0,0,0,107.78,0,0,0,0,0,0,0,0,0,0,4865.75,113.03,0,0,1876.9,7.89,21.03,0,2.63,0,0,0,0,0,0,0
 10-12,0,138.47,0,122.73,0,22.03,0,314.7,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,3235.08,40.91,0,0,1192.7,3.15,15.73,0,110.14,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,3,13,9,0,11,0,0,11,3,0,0,0,1,0,1,0,29,0,0,20,418,5,2,0,11,9,0,30,0,12,138,0,0,2,0,0
 24-34,0,0,0,0.82,10.67,1.64,0,245.44,0,2.46,22.98,0,0,0.82,1.64,0.82,1.64,2.46,0,82.91,0,1.64,33.66,1096.66,2.46,3.28,3.28,0,12.31,0,0,0,3.28,215.89,0,0,4.93,0,0
 36-46,0,0,0,0.81,7.25,1.61,0,203.03,1.61,0.81,21.75,0,0,0,1.61,0,0.81,0,3.22,40.28,0,1.61,5.64,522.88,0.81,4.03,2.42,0,8.86,0,0.81,0.81,0,87.82,0,0,5.64,0,0
 48-58,0,0,0,0,12.05,1.72,0,162.96,1.15,0.57,25.82,2.3,0,0.57,1.15,1.15,2.87,0.57,1.72,39.02,0,1.72,6.89,233.54,1.72,1.72,2.3,0,2.3,0,0,0.57,0.57,41.89,0,0,4.02,0,0
 60-70,0,0,0,0,13.74,0.98,0,113.86,1.96,0.98,23.56,5.89,0,0,0,0.98,0.98,0.98,1.96,29.45,1.96,2.94,8.83,173.73,0,0.98,2.94,0,1.96,0,0,0,0,17.67,0,0,3.93,0,1.96
 72-82,0,0,0.98,0,6.87,4.91,0.98,90.31,0,2.94,34.36,4.91,0,2.94,3.93,3.93,0.98,1.96,1.96,53.01,0,2.94,16.69,179.64,0.98,2.94,2.94,0,1.96,0,0,0,0,6.87,0,0.98,4.91,0.98,0.98
 84-94,0,0,0,0,2.12,0,0,39.3,0,1.06,22.3,1.06,0,0,3.19,1.06,0,2.12,3.19,22.3,0,0,7.43,72.22,1.06,1.06,1.06,0,0,0,0,0,0,0,1.06,0,6.37,0,0
 96-106,0,0,0,0,2.19,0,1.09,24.04,0,0,12.02,2.19,0,1.09,1.09,0,0,2.19,0,10.93,0,0,0,46.99,0,4.37,0,0,2.19,0,0,1.09,0,0,1.09,0,1.09,0,1.09
108-118,0,0,0,0,3.83,0,0,18.38,0,0,9.96,1.53,0,0,1.53,0,0,0,1.53,5.36,0,0,1.53,49.79,0,0,0,0,0.77,0,0,0,0,2.3,0,0,0.77,0,0.77
120,0,0,0,0,3.92,0,0,23.52,0,0,15.68,0,0,0,0,0,0,0,0,5.88,0,0,9.8,43.12,0,0,1.96,0,1.96,0,0,1.96,0,1.96,0,0,3.92,0,0
