stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,2,0,0,1,0,0,0,1,1,6,1,0,0,0,4,1,2,1
 24-34,0,0,0,0,0,0,0,1.64,0.82,13.95,0.82,0,0,2.46,0,0.82,2.46,0.82
 36-46,0,0,0,1.61,0.81,0.81,0.81,3.22,0,4.03,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0.57,0,0,0.57,0,2.3,0,0,0,0.57,0,0,0.57,1.15
 60-70,0.98,0,0,0.98,0,0.98,0,0.98,0.98,0,0,0,0,1.96,0,0,0,0
 72-82,0.98,0.98,0,0,0,0.98,0.98,3.93,0,2.94,0,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,1.06,2.12,0,0,0,3.19,0,0,0,0
 96-106,0,0,1.09,1.09,0,1.09,0,3.28,0,2.19,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,3.06,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,1.96
