stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,33,0,1,0,0,0,0,13,0,0,0,0,0
 24-34,0,0,1.64,1.64,0,0,5.75,0,0,0,0,0,0,0,0,0,0,7.39,0,1.64,311.1,0.82,15.6,0,0,0.82,0,49.25,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,7.25,0,0,0.81,3.22,0,0,0,0,0,0.81,7.25,0,0,638.09,0.81,15.31,0,0,0,0,86.21,0,0,0,0,0.81
 48-58,0,0,0,2.3,0,0,39.59,0,0,0,4.59,0.57,0,0,0.57,0.57,1.72,13.2,0,1.72,783.82,0,14.35,0,0,0,0,98.12,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,136.43,0,0,0,5.89,0,0.98,0,0,0,0,27.48,0,0,1096.36,0,16.69,0,0,0,1.96,113.86,0,0,0,0,0
 72-82,0,0,2.94,4.91,0.98,0,217.93,0,0,0,20.61,0,0.98,0,5.89,1.96,0,44.17,0,0.98,1101.42,0,38.28,0.98,0,0,1.96,72.64,0,4.91,0,0,0
 84-94,0,0,2.12,5.31,0,0,117.89,1.06,1.06,2.12,12.74,0,1.06,0,0,0,1.06,40.36,2.12,7.43,556.51,0,26.55,1.06,0,0,0,48.85,0,0,0,0,0
 96-106,0,0,1.09,5.46,0,0,127.86,0,1.09,0,14.21,0,0,1.09,3.28,3.28,1.09,24.04,1.09,1.09,473.2,1.09,37.16,2.19,0,0,2.19,15.3,1.09,1.09,0,2.19,0
108-118,0,0,0.77,5.36,2.3,0.77,83.49,0,0,0.77,9.96,0.77,1.53,0,1.53,0.77,0,20.68,0.77,0.77,503.24,0.77,22.98,1.53,0,0.77,0.77,12.26,0,0.77,0,0,0
120,0,0,0,7.84,0,0,88.19,0,0,0,15.68,0,0,0,1.96,1.96,0,21.56,0,1.96,397.84,0,7.84,0,0,0,0,11.76,0,1.96,1.96,0,0
