stage,epidermis,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,spinal.cord,vascular.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,5.75,0.82,0,0
 36-46,0,0,1.61,0,0,0,1.61,0,0,2.42,2.42,0,0
 48-58,0,0,3.44,0.57,0,0.57,1.15,0,0,8.03,1.15,0,0.57
 60-70,0,0,1.96,1.96,0,0,0,0,0,5.89,0.98,0.98,0
 72-82,0,0,5.89,0.98,0,0,0.98,0,0,5.89,0,0,0
 84-94,0,0,3.19,1.06,0,0,2.12,0,0,3.19,0,0,1.06
 96-106,0,0,4.37,0,0,0,1.09,0,1.09,0,1.09,0,0
108-118,2.3,0,0.77,0,0,0,0.77,0.77,0,6.13,0,0,0
120,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0
