stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,18.39,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,0,0,0,0,0,0,0,55.2,0,0,68.35,2.63,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,75.53,0,0,103.85,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0.81,0,0,0,0,0,1.61,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0.57,3.44,0,0.57,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,1.06,3.19,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,1.09,0,0,3.28,0,2.19,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0.77,0,0,0,0.77,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0
