stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,5.75,0,0.82,0,0,0,0.82,0.82,0,0,0,0,0.82,0.82,0,0,0.82,4.1,0,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,0.81,0,0,8.06,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0.57,0,0,40.17,0,0,0,1.15,0,0,0,0,1.15,0,0,0,0,0,0,0.57,3.44,0.57,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,1.96,0,0,560.45,0,0,0,0,0,0,0.98,0.98,2.94,0,0,0,0.98,0,0,0.98,13.74,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,6.87,2.94,0,983.63,0,0.98,0,10.8,0,0,0,0,1.96,0,0,0,10.8,0,0,0.98,49.08,0,0,0.98,0,0.98,1.96,0,4.91,0.98,0,0
 84-94,0,9.56,1.06,0,979.2,1.06,0,0,8.5,1.06,0,5.31,0,1.06,1.06,0,0,1.06,0,1.06,0,31.86,0,0,0,0,0,2.12,0,0,0,0,0
 96-106,0,3.28,2.19,1.09,755.16,0,1.09,1.09,15.3,1.09,0,1.09,0,4.37,1.09,1.09,0,3.28,0,0,0,30.6,0,1.09,0,0,0,1.09,0,1.09,1.09,1.09,1.09
108-118,0,3.83,1.53,0,557.62,0,0,0.77,16.85,0,0,1.53,0,10.72,0,0.77,0,9.96,0.77,0.77,1.53,34.47,0,0,0.77,0,0,4.6,0,1.53,0.77,0,0
120,0,7.84,1.96,0,725.12,0,5.88,0,15.68,0,0,5.88,1.96,3.92,0,1.96,0,1.96,0,1.96,3.92,64.67,0,0,0,0,0,5.88,1.96,3.92,1.96,0,0
