stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,1041.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0
  5-6,30.65,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,36.78,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,15.77,0,0,5.26,0,44.69,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,31.47,0,0,22.03,0,37.76,0,0,0,0,0,0,0
 14-21,0,0,8,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,4,6,0,0,0,0,102,0,1,1,0,0,3,0
 24-34,0,0,9.03,1.64,0.82,0,0.82,0,0,0,0.82,0,25.45,0,0,0,0,4.1,14.78,0,0,45.97,5.75,4.93,0,0,0,145.29,0,0,5.75,0,0,1.64,0
 36-46,0,0,5.64,0.81,2.42,0,0.81,0,1.61,0,0,0,10.47,0,0.81,0,0,2.42,12.89,0.81,2.42,83.79,11.28,4.03,0,0,0,74.93,0,0,11.28,0,0,0,0.81
 48-58,0,0,6.89,3.44,5.74,0.57,2.87,0.57,3.44,0.57,0,0,4.02,0,2.3,0,0,2.87,7.46,0.57,0,66.56,2.87,6.89,0,0,0.57,39.59,0,0,6.89,0,0.57,0,0.57
 60-70,0,0,8.83,6.87,79.5,0,6.87,0,0.98,0,0,0.98,1.96,0,0.98,0,0,27.48,11.78,0.98,0.98,97.17,1.96,1.96,0.98,0.98,4.91,28.46,0,0,1.96,2.94,0,0,2.94
 72-82,0,0,17.67,39.27,183.57,0,2.94,0.98,5.89,2.94,0,0,9.82,1.96,2.94,0,0,60.86,19.63,0.98,0,145.29,1.96,3.93,1.96,0,1.96,12.76,0,0,5.89,19.63,0.98,0,11.78
 84-94,1.06,0,36.11,28.68,82.84,0,7.43,0,8.5,6.37,0,0,8.5,0,2.12,0,0,31.86,15.93,1.06,0,87.09,1.06,6.37,2.12,0,3.19,32.92,0,0,0,75.4,2.12,1.06,5.31
 96-106,0,0,28.41,32.79,95.08,1.09,7.65,0,6.56,6.56,0,0,25.14,0,4.37,1.09,0,37.16,17.49,4.37,2.19,96.17,0,15.3,1.09,0,3.28,13.11,0,0,2.19,128.96,1.09,0,4.37
108-118,0,0,33.7,21.45,54.38,0,6.89,1.53,5.36,4.6,0,3.06,16.09,3.83,2.3,0,0.77,21.45,11.49,0.77,0,101.87,1.53,7.66,0,0,10.72,12.26,0,0,1.53,119.49,0.77,0,4.6
120,0,0,19.6,25.48,33.32,0,5.88,0,1.96,9.8,0,0,9.8,1.96,0,0,0,3.92,5.88,0,7.84,107.79,1.96,13.72,1.96,0,3.92,3.92,0,0,0,47.03,0,0,1.96
