stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,77.16,0,0,2.46,0.82,0,0.82,0,0,0,0,0,0.82,4.1,0,0,0,1.64,0,0,0
 36-46,28.2,0,1.61,4.83,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,1.61,0,0
 48-58,40.74,0,2.3,10.9,0,0,1.15,0,0,1.15,0.57,0,0,7.46,0.57,0.57,0,0,3.44,0,0
 60-70,43.19,0,1.96,14.72,0.98,0,0,0,0,2.94,0,0,0,5.89,0,0,0,0,1.96,0,0
 72-82,51.05,0,5.89,14.72,0.98,0.98,0.98,0,0,2.94,1.96,0,0,9.82,0,0,0,0.98,0.98,0,0
 84-94,56.29,0,2.12,22.3,0,0,0,0,2.12,2.12,0,1.06,0,1.06,0,0,0,0,0,1.06,1.06
 96-106,78.68,0,1.09,25.14,2.19,1.09,5.46,0,0,2.19,2.19,0,1.09,2.19,0,0,1.09,3.28,0,0,0
108-118,85.02,0.77,0.77,28.34,0,0,3.06,0.77,0,0.77,0.77,0,0,3.06,0,0.77,0,0.77,0,0,0
120,131.31,0,1.96,41.16,0,3.92,0,1.96,0,0,3.92,0,0,1.96,0,0,0,5.88,0,0,0
