stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,13.14,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,59.79,9.44,0,0,3.15,0,9.44,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,7,32,0,0,0,0,0,0,0,1,0,0,0,3,0,0,8,0,5,0,0,4,35,4,0,5,0,0,27,1,2,8,30,25,0,0,1,0,0
 24-34,0,0,2.46,4.1,28.73,0,0,8.21,0,2.46,0,0.82,1.64,1.64,0,4.93,2.46,0,3.28,8.21,0.82,7.39,0.82,0,4.1,114.92,9.03,2.46,4.93,0,0,77.16,0,0,2.46,9.03,50.89,0,0,0,0,0.82
 36-46,0,0,0,0,10.47,0,0,14.5,0,2.42,0,11.28,0,1.61,0,2.42,0.81,0,4.03,4.83,3.22,7.25,0.81,0,6.45,126.49,10.47,0.81,4.03,0,0,78.15,0,0,0,0,47.53,0,0,0.81,0,2.42
 48-58,0,0,0,0.57,9.18,0,0,72.3,1.72,1.15,0,30.41,1.15,9.18,0,5.74,1.15,0.57,4.59,4.59,2.3,15.49,1.72,0,5.16,150.91,5.16,1.15,4.59,0,0,45.9,0,1.15,1.72,0,45.9,0,0,0.57,0,6.31
 60-70,0,0,1.96,0,16.69,0,0,221.82,0,2.94,0,94.23,1.96,4.91,0,13.74,0.98,0.98,2.94,2.94,0,20.61,1.96,0,4.91,231.64,2.94,1.96,4.91,0,0,46.13,0,0.98,0,0,36.32,0.98,0,0,0,4.91
 72-82,0,0,4.91,0,18.65,0.98,0.98,192.41,2.94,2.94,0,160.01,7.85,4.91,0,10.8,0,0.98,2.94,2.94,0.98,47.12,0,0,0.98,372.05,1.96,0.98,4.91,0,0.98,26.5,0,0,0.98,0,37.3,7.85,0.98,0.98,0.98,4.91
 84-94,0,0,3.19,0,35.05,0,1.06,196.48,3.19,6.37,0,86.03,15.93,2.12,0,25.49,7.43,0,2.12,9.56,1.06,35.05,2.12,1.06,2.12,192.23,2.12,3.19,7.43,0,0,78.59,0,5.31,0,0,23.36,16.99,2.12,0,1.06,14.87
 96-106,0,0,4.37,0,30.6,1.09,6.56,120.21,4.37,1.09,2.19,86.33,14.21,1.09,1.09,30.6,3.28,1.09,5.46,6.56,0,50.27,3.28,1.09,4.37,219.66,2.19,8.74,3.28,0,1.09,65.57,0,1.09,1.09,0,14.21,32.79,0,1.09,3.28,7.65
108-118,0,0,3.06,0,32.94,0.77,18.38,129.45,0.77,3.83,0,105.7,22.98,0,0,18.38,4.6,0,6.89,18.38,0,40.6,3.83,0.77,4.6,215.24,2.3,2.3,9.19,0,0.77,45.19,0,1.53,3.06,0,15.32,49.79,2.3,0,0,10.72
120,0,0,5.88,0,50.95,0,9.8,94.07,0,1.96,0,129.35,25.48,0,0,25.48,1.96,0,3.92,11.76,0,39.2,5.88,1.96,13.72,252.81,0,0,7.84,0,0,50.95,0,1.96,0,0,11.76,17.64,0,0,0,1.96
