stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,52.71,1976.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0
  5-6,24.52,852.02,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,61.3,18.39,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,65.72,21.03,0,55.2,0,2.63,26.29,0,0,0,0,0,13.14,0,0,0,0,0,0,565.17,65.72,0,0,412.71,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,44.06,0,6.29,31.47,0,0,0,0,0,12.59,0,0,0,0,0,0,343.02,110.14,0,0,327.28,0,0,6.29,0,25.18,9.44,0,0,0,0,0
 14-21,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,10,0,2,9,4,0,0,3,0,0,0,1,0,1,15,0,0,0,0
 24-34,0,0,0,0,2.46,0,0.82,0,0,0.82,0.82,0.82,0,0.82,0,0.82,12.31,0,11.49,34.48,0,0,0,0,0,0.82,0,0,1.64,0.82,15.6,0,0,0.82,0
 36-46,0,0,0,0,3.22,0,3.22,0.81,0,0,2.42,0,0,0.81,0,0,8.86,0,4.83,12.89,0,0.81,0,0,0,0,0,0,0,0,10.47,0,0,0,0
 48-58,0,0,0.57,0,2.3,0,3.44,0.57,0.57,0,2.87,0,0,0,0.57,0,6.31,0,0.57,5.74,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0
 60-70,0,0,0,0,0.98,0,1.96,0,0,0.98,8.83,0.98,0,0,0,0,19.63,1.96,1.96,3.93,0,0,0,0,0,2.94,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0,0.98,0,1.96,0,0,0,0.98,1.96,0,0,0,0.98,31.41,1.96,0,4.91,0,0,0,0,0.98,1.96,0,0,0,0,0.98,0.98,0.98,0,0.98
 84-94,0,0,0,0,4.25,0,2.12,0,0,0,3.19,1.06,0,0,0,0,20.18,1.06,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,2.19,0,1.09,0,0,0,5.46,0,0,0,0,0,15.3,1.09,1.09,1.09,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0
108-118,0,0,0,0,0.77,0,3.06,0,1.53,0,3.83,0.77,0,0,0,0.77,7.66,0.77,1.53,2.3,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,5.88,0,0,0,1.96,1.96,0,0,0,0,9.8,0,3.92,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96
