stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,157.35,3.15,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,10,0,16,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,2,129,1,1,0,0,0,0,0,1,0,4,20,21,0,0,0,0,0
 24-34,0,0,1.64,0.82,2.46,0,26.27,12.31,0,0,1.64,0.82,0,0,0,0.82,0,0,0,6.57,0,0,13.13,274.99,0.82,3.28,3.28,0,0.82,4.1,0,0,0.82,4.93,29.55,63.21,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,24.17,11.28,0,0,16.92,0.81,0,0,0,0,0,0,0,5.64,0,0,4.03,298.1,0,10.47,4.03,0,0,1.61,0,0,0.81,3.22,1.61,71.7,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,61.97,6.31,0.57,0,25.25,1.15,0,0,0,0,0.57,0.57,0.57,6.31,0,0,2.87,282.31,0,6.31,3.44,0,0,0,0,0,0,1.15,0,65.41,0,0,0.57,0,1.15
 60-70,0,0,0.98,0,1.96,0,191.4,5.89,0,0,61.84,0.98,0,0.98,0,0,0,0,0.98,18.65,0.98,0.98,0.98,449.54,0,1.96,8.83,0,0.98,0,0,0,0.98,1.96,0,68.71,0,0,0.98,0,0.98
 72-82,0,0,1.96,0,3.93,1.96,226.76,0,0,1.96,79.51,0,0,0,0,0,0.98,1.96,0,21.6,0,0,2.94,450.58,0.98,7.85,7.85,0,0,0,0,0,0,1.96,0,48.1,0,0.98,0,0,0.98
 84-94,0,0,1.06,0,1.06,1.06,139.13,0,1.06,0,55.23,1.06,0,0,0,1.06,0,2.12,1.06,28.68,0,0,2.12,255.95,1.06,7.43,14.87,0,0,3.19,0,0,0,1.06,0,36.11,0,1.06,2.12,1.06,0
 96-106,0,0,0,0,6.56,3.28,100.54,0,0,2.19,49.18,2.19,0,1.09,2.19,1.09,0,3.28,1.09,32.79,0,1.09,2.19,215.29,0,13.11,16.39,0,0,1.09,0,0,1.09,1.09,0,15.3,0,0,2.19,0,0
108-118,0,0,0,0,9.96,0,68.17,2.3,0.77,1.53,40.6,0.77,0,0,1.53,0.77,0,0.77,3.06,20.68,0,0,3.06,225.96,0,9.96,18.38,0,0.77,0,0,0,0.77,1.53,0,9.19,2.3,0.77,1.53,0,0
120,3.92,0,1.96,0,3.92,0,43.12,3.92,0,0,66.63,0,0,0,0,0,0,1.96,0,11.76,0,0,5.88,268.49,0,7.84,9.8,0,0,1.96,0,1.96,0,1.96,0,17.64,0,0,0,0,0
