stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,2701.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,711.04,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,10.51,0,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,92,15.77,0,0,31.54,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,59.79,0,0,0,31.47,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,14,1,0,0,0,0,2,3,2,0,2,11,0,0,1,0,1
 24-34,0,0,0,0,5.75,0.82,0,11.49,0,1.64,3.28,0,0,0.82,11.49,0,0,1.64,0,1.64,24.63,0,0,20.52,106.71,3.28,2.46,1.64,0,0,3.28,0,0,4.1,3.28,36.12,0,0,4.93,0,9.85
 36-46,0,0,0,0.81,0.81,0.81,0,24.98,0,0.81,11.28,0,0,1.61,16.92,0.81,2.42,0,0,0.81,65.26,0.81,1.61,14.5,139.38,1.61,0,1.61,0,0,0,0,0,0.81,0,47.53,0,0,5.64,0,17.72
 48-58,0,0,0,0,4.02,0.57,0,39.02,2.3,1.15,26.4,0,0,0.57,18.94,0,1.72,0,0,4.02,86.64,1.15,2.3,17.21,162.39,4.02,1.72,1.15,0,0,2.3,0,0,1.72,0,59.1,0,0,6.89,0,23.53
 60-70,0.98,0,0,0,3.93,0,0,56.93,2.94,1.96,53.98,0.98,0,0.98,17.67,0,3.93,1.96,1.96,0.98,105.02,0.98,2.94,12.76,110.91,0.98,3.93,2.94,0,0,5.89,0,0,0,0,35.33,0,1.96,5.89,0.98,18.65
 72-82,0,0,0.98,0,6.87,1.96,0,111.91,0.98,4.91,66.75,3.93,0,2.94,45.16,1.96,2.94,0.98,2.94,0.98,196.33,2.94,8.83,22.58,163.94,2.94,0,0.98,0,0.98,5.89,0,0,5.89,0,22.58,1.96,4.91,8.83,0.98,16.69
 84-94,0,0,0,0,19.12,2.12,1.06,45.67,2.12,4.25,28.68,6.37,0,2.12,61.6,3.19,12.74,1.06,4.25,1.06,110.45,0,3.19,11.68,74.34,0,1.06,3.19,0,4.25,9.56,0,0,14.87,0,8.5,0,2.12,12.74,1.06,19.12
 96-106,0,0,0,0,15.3,3.28,0,36.06,3.28,5.46,31.69,10.93,0,1.09,83.06,4.37,13.11,5.46,2.19,2.19,111.47,1.09,4.37,15.3,65.57,1.09,3.28,5.46,0,7.65,16.39,0,0,9.84,0,3.28,2.19,3.28,8.74,6.56,21.86
108-118,0,0,0,0,9.96,3.06,0,26.81,4.6,1.53,26.04,6.13,0,0,54.38,2.3,9.19,3.06,1.53,3.06,79.66,0,2.3,13.02,62.04,3.06,0.77,5.36,0,1.53,6.13,0,0,6.13,0,4.6,0.77,2.3,11.49,4.6,19.15
120,0,0,0,0,13.72,7.84,0,17.64,1.96,1.96,23.52,11.76,0,0,52.91,0,7.84,0,5.88,0,80.35,0,1.96,11.76,78.39,1.96,5.88,3.92,0,0,7.84,0,0,11.76,0,1.96,0,0,5.88,1.96,3.92
