stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,23.66,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,15.73,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,1,0,1,0,2,0,1,0,10,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,3.28,0,0,0,0.82,0,0,0,0,0,2.46,0,0,2.46,0,0,0.82,103.43,0,3.28,9.85,0,5.75,0,0,0,0,3.28,12.31,0,0,0.82,0,0
 36-46,0,0,0,0,5.64,0,0,16.92,0,0,0.81,0,0,0.81,0,0,0,1.61,0,0,8.06,0,0,1.61,236.06,0,1.61,4.03,0,5.64,0,0,0.81,0,0,24.98,0,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,59.68,0,0,5.16,0,0,0.57,0,0,0,4.59,0,0.57,6.31,0,0,1.15,211.16,0,1.72,6.89,0,4.02,0,0,0,0,0,24.67,0,0.57,7.46,0,0
 60-70,0,0,0.98,0,4.91,0,0,96.19,0,0,7.85,0.98,0.98,0.98,0,0,0,10.8,0,0,7.85,0,0,1.96,264.03,0,0.98,8.83,0,5.89,0,0,0,0,0,18.65,0.98,0,1.96,0,0.98
 72-82,0,0,0.98,0,5.89,0,0,105.04,0,0,13.74,0,0,0.98,0,0,0,17.67,0.98,0,13.74,0,1.96,0.98,226.76,0,0,24.54,0,0.98,0,0,0,0,0,8.83,4.91,0.98,19.63,0,0
 84-94,0,0,1.06,0,5.31,0,0,70.09,1.06,0,9.56,1.06,0,0,0,1.06,1.06,36.11,0,0,8.5,0,0,2.12,141.25,0,0,41.42,0,4.25,0,0,0,0,0,7.43,6.37,0,21.24,0,0
 96-106,0,0,0,0,6.56,1.09,1.09,80.87,2.19,1.09,10.93,3.28,0,0,0,1.09,0,39.34,5.46,0,8.74,1.09,1.09,0,122.4,0,1.09,49.18,0,12.02,0,0,0,1.09,0,3.28,5.46,3.28,27.32,3.28,1.09
108-118,0,0,0.77,0,4.6,0,0,58.98,0.77,0,11.49,0.77,0,0.77,0.77,0.77,0,28.34,0,0,11.49,0,0,0,121.79,0,1.53,36,0,3.06,0,0,0.77,0,0,0.77,10.72,0.77,22.21,0,0
120,0,0,0,0,15.68,1.96,0,68.59,0,0,13.72,0,0,0,1.96,1.96,0,15.68,0,0,5.88,0,1.96,3.92,154.82,0,0,43.12,0,9.8,0,1.96,0,0,0,1.96,3.92,0,35.28,3.92,0
