stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,18.4,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,47.32,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,141.61,15.73,0,0,50.35,0,0,12.59,0,3.15,0,0,0,0
 14-21,0,0,0,0,3,1,0,0,0,50,0,0,0,0,0,0,7,0,4,44,1,0,6,5,0,4,50,2,161,0,0,0,0
 24-34,0,0,0.82,2.46,2.46,0,0,0.82,0,34.48,0.82,0.82,0,0,0.82,0.82,3.28,0,0,24.63,0,4.1,1.64,0,0,0,27.09,4.93,78.8,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,33.03,0,0,0,0,0.81,0,0.81,0.81,0.81,20.95,0,8.06,0.81,0,0,0,11.28,0,51.56,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,1.15,0,32.71,0.57,0,0,0,0.57,0,3.44,0,0,17.21,0,6.31,3.44,0,0,0,2.87,0,43.61,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0.98,50.06,0,0,0,0,6.87,0,6.87,0,0,17.67,0,15.7,5.89,0,0,0,3.93,0,28.46,0,0.98,0,0
 72-82,0,0,1.96,0.98,0,0,0,8.83,0,75.59,1.96,0,0,0,6.87,0,16.69,0,0,43.19,0,10.8,3.93,0,0,0,2.94,0,24.54,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,9.56,0,54.16,2.12,0,0,1.06,9.56,0,5.31,0,1.06,16.99,0,10.62,5.31,0,1.06,0,6.37,0,15.93,0,0,0,0
 96-106,0,0,4.37,0,0,0,0,5.46,0,37.16,2.19,0,0,0,20.76,0,3.28,0,0,15.3,0,19.67,7.65,0,0,0,4.37,0,19.67,1.09,0,0,0
108-118,0,0,1.53,0,0,0.77,0.77,3.83,0,32.17,0,0,0,0,9.96,0.77,0.77,0,0,19.92,0,8.43,4.6,0,0,0,6.89,0,5.36,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,33.32,0,0,1.96,0,13.72,1.96,1.96,0,1.96,11.76,1.96,11.76,3.92,0,0,0,7.84,0,9.8,0,0,0,1.96
