stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,4,1,7,0,0,0,0,0
 24-34,0,2.46,0,0,1.64,0.82,0.82,0.82,0,0,0,0,0,4.93,0.82,0,0.82,41.04,0,0.82,1.64,0,0,1.64,0,0.82,11.49,0,0,3.28,0,0
 36-46,0,1.61,0,0,0,0,0.81,5.64,0,0,0,2.42,0,11.28,0,0,3.22,71.7,0,0,0,0,0,0.81,0,0,13.7,0,0,0.81,0,0
 48-58,0,0,0.57,0,6.89,0,0.57,4.59,0,0,0,0.57,0,12.62,0,0,2.87,74.59,0,0,2.87,0,0,0.57,0,0,13.77,0,0,2.87,0,0
 60-70,0,0,0,0,6.87,0.98,0,2.94,0,0,0,0,0,13.74,0,0,0.98,118.76,0,0,3.93,0,0.98,1.96,0,0,5.89,0,0,1.96,0,0
 72-82,0,0.98,1.96,0,14.72,0,0.98,0.98,0,0,1.96,6.87,0,21.6,0,0,1.96,117.8,0,0,6.87,0,0,2.94,0,0,4.91,0.98,0,2.94,0.98,0.98
 84-94,0,2.12,1.06,0,9.56,0,1.06,6.37,1.06,0,0,4.25,1.06,16.99,0,3.19,1.06,47.79,0,1.06,7.43,0,0,3.19,0,0,1.06,0,0,3.19,0,0
 96-106,0,3.28,0,1.09,8.74,0,0,1.09,0,0,0,5.46,0,13.11,0,0,2.19,59.01,0,2.19,18.58,0,0,4.37,0,0,3.28,0,0,2.19,3.28,0
108-118,0,4.6,0,0,1.53,0,0.77,5.36,0,0,0,6.13,0,16.85,0,0.77,0.77,50.55,0.77,0.77,9.19,0,0,0.77,0,0,0.77,0,0.77,0.77,1.53,0
120,0,3.92,0,0,5.88,1.96,0,0,0,0,0,7.84,0,19.6,0,0,3.92,74.47,0,0,3.92,0,0,1.96,0,0,0,0,0,1.96,0,0
