stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,79.07,1752.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0
  5-6,24.52,441.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0.81,3.22,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.57,0,0,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0.98,0,0,3.93,0,0,0,3.93,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,2.94,0,0,0,0.98,0.98,0,0,0,0,1.96,0.98,0.98,0,2.94,0.98,0,0,6.87,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,3.19,1.06,0,0,1.06,4.25,0,0,0,1.06,0,0,0,0,3.19,0,1.06,0,14.87,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,4.37,0,3.28,3.28,1.09,0,3.28,2.19,5.46,0,0,0,1.09,0,1.09,0,7.65,0,1.09,0,42.62,1.09,0,0,0,0,2.19,1.09
108-118,0,0,0,0,3.06,0,2.3,0.77,0,0.77,5.36,2.3,0,0,0.77,0,1.53,1.53,0.77,0.77,3.06,0,0,0,34.47,0,0,0,0.77,2.3,2.3,2.3
120,0,0,0,0,5.88,0,0,1.96,0,0,9.8,9.8,0,1.96,0,0,0,0,0,0,3.92,0,1.96,0,84.27,0,0,0,0,0,5.88,0
