stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,1,0,0,1,2,0,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,36.94,0,0,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,95.87,0.81,29,0,0,0,0,0,0,4.03,0,0.81,0,0
 48-58,0,1.15,0,45.33,0,0.57,0,2.3,0,0,0,0,0,0,0,1.72,0,0,0,194.52,0.57,18.94,0,0,0.57,0,0,0,8.61,0,0,0,0
 60-70,0,0,0.98,137.41,0,1.96,1.96,3.93,0,0,0,0,0,0,0.98,5.89,0,0,0,371.02,0.98,16.69,0,0,0,0.98,0,0,14.72,0,0.98,0.98,0
 72-82,0,2.94,0.98,139.4,0.98,0,0,4.91,0,0,0,1.96,0,0,0,4.91,0,0,0,319.04,0,25.52,0,0,0.98,0,0.98,0,7.85,0.98,0,0,0
 84-94,0,3.19,0,80.71,0,0,0,5.31,0,1.06,1.06,1.06,1.06,0,0,10.62,1.06,0,0,134.88,0,9.56,1.06,0,1.06,0,0,0,7.43,0,0,0,0
 96-106,0,3.28,0,48.09,0,0,0,7.65,1.09,0,0,0,0,0,0,0,0,1.09,1.09,140.98,0,22.95,0,0,2.19,0,0,0,0,0,0,0,1.09
108-118,0,2.3,0,44.43,0,0.77,0,6.89,0,0,1.53,0,0,0.77,0,0.77,0,0,0,136.34,0,13.79,0,0,1.53,0,0,0,2.3,0.77,0,0,0.77
120,0,0,0,25.48,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,1.96,115.63,0,11.76,0,0,1.96,0,0,0,3.92,0,0,0,0
