stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,101,1,0,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,2.46,1.64,0,1.64,9.85,0,0,0,0,156.78,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,3.22,0,0,1.61,0,0,0,0.81,0,0,0,0.81,1.61,0,0,5.64,0,0,0,0,223.17,0,1.61,0,0,0,0,0
 48-58,0,0.57,0,0,5.16,0,14.92,1.15,2.3,1.15,0,0,0,0.57,0,0,0,2.3,3.44,0,0.57,14.92,0.57,1.15,0,0,347.73,0,5.16,0,0,0,0,0
 60-70,0,8.83,0,0,5.89,0,15.7,0,0.98,0,0,0,0,0.98,0,0,0,1.96,2.94,0,0,17.67,0,1.96,0.98,0,516.28,0,1.96,0,0,0,0,0
 72-82,0,28.47,0,0,16.69,0,25.52,0,2.94,1.96,0.98,0,0,10.8,0,0,0,2.94,6.87,0,0,19.63,1.96,9.82,1.96,0,932.58,0,0.98,0.98,0,2.94,0.98,0.98
 84-94,1.06,74.34,0,0,13.81,1.06,94.52,0,1.06,3.19,0,0,1.06,29.74,0,0,0,4.25,22.3,0,2.12,16.99,0,20.18,0,0,2762.36,0,0,0,0,0,0,0
 96-106,0,194.53,1.09,2.19,25.14,1.09,138.79,1.09,7.65,6.56,0,1.09,2.19,62.29,1.09,0,3.28,13.11,36.06,4.37,3.28,68.85,1.09,28.41,2.19,1.09,3100.41,0,0,5.46,1.09,4.37,0,2.19
108-118,0,181.53,1.53,1.53,14.55,0,227.49,3.83,3.06,9.96,0,0,2.3,78.13,0,1.53,0.77,9.96,54.38,0.77,2.3,45.96,0,21.45,1.53,0,3411.6,0,1.53,3.06,0,2.3,1.53,0
120,0,90.15,7.84,3.92,11.76,0,109.75,0,1.96,3.92,0,1.96,0,23.52,0,0,0,13.72,29.4,1.96,3.92,27.44,0,13.72,0,0,1432.6,0,1.96,1.96,0,1.96,0,0
