stage,eye,fin.epithelia,glial,ionocyte,liver,melanocytes,mesenchyme,neural,olfactory,periderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,2,0,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,4.1,0,0,0,0,1.64
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0
 60-70,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,1.09,0,1.09,0,0,0,0,10.93,1.09,0,1.09,0
108-118,0,0,0,0,0.77,0,0.77,0.77,2.3,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0
