stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,36.78,496.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,12,42,21,0,2,1,0,0,0,0,0,0,3,1,2,0,4,0,0,1,8,3,1,8,0,7,0,4,0,6,0,0,0,0,0
 24-34,0,0,0,1.64,16.42,1.64,0,0,0,0,0,3.28,0.82,0,0.82,4.93,2.46,1.64,0,1.64,0,0,0.82,16.42,0.82,17.24,22.16,0,5.75,0,2.46,0.82,29.55,0,0,0.82,0,0
 36-46,0,0,0,0,5.64,0,0,0.81,0,0,0,0.81,0.81,0,0,4.03,5.64,0,0,2.42,0.81,0,1.61,20.14,0.81,14.5,5.64,0,6.45,0.81,0.81,0,27.39,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,1.72,0,0,0,1.15,6.31,0,0,1.72,4.02,1.15,0,0.57,0.57,0.57,1.15,13.2,0.57,9.75,6.31,0,0,0,0.57,0,14.35,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,5.89,1.96,0,6.87,1.96,0,0,2.94,2.94,0,0,1.96,4.91,1.96,0,1.96,1.96,0,1.96,11.78,0.98,5.89,5.89,0,3.93,0,0.98,0,5.89,2.94,0,2.94,0,0
 72-82,0,0,1.96,0,4.91,2.94,0,12.76,0.98,2.94,3.93,13.74,3.93,0.98,0,9.82,15.71,1.96,0,6.87,1.96,0,0.98,30.43,0.98,17.67,27.49,0,8.83,0,0,0,5.89,15.71,0,6.87,0,0
 84-94,0,0,2.12,0,21.24,3.19,1.06,15.93,3.19,1.06,1.06,30.8,7.43,0,0,12.74,16.99,5.31,1.06,2.12,5.31,0,0,25.49,1.06,19.12,28.68,0,18.05,0,5.31,0,6.37,30.8,0,3.19,0,0
 96-106,0,0,7.65,0,32.79,0,3.28,20.76,2.19,0,4.37,33.88,0,0,0,16.39,19.67,5.46,0,3.28,1.09,0,1.09,25.14,1.09,22.95,34.97,0,21.86,0,4.37,0,0,85.24,1.09,9.84,1.09,1.09
108-118,0,0,3.83,0.77,22.21,3.06,3.83,10.72,0,0,0.77,39.83,0,0,0,13.02,17.62,6.89,0,4.6,4.6,0,0,32.17,5.36,13.02,23.74,0,10.72,0,3.06,0,0.77,71.23,0,11.49,0,0
120,0,0,0,0,13.72,1.96,1.96,5.88,0,0,1.96,23.52,0,0,0,11.76,13.72,5.88,0,3.92,1.96,0,0,33.32,1.96,21.56,17.64,0,5.88,0,7.84,0,0,27.44,1.96,5.88,0,0
