stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,somites,spinal.cord,vasculature
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,44.69,7.89,0,21.03,0,0,0
 10-12,0,3.15,3.15,0,12.59,0,0,0,0,0,0,0,343.02,9.44,0,18.88,3.15,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,1,8,0,1,0,1,2,0
 24-34,0,0,0,0.82,0.82,0,0.82,0,0,0,0,0.82,16.42,0,0,0,0.82,2.46,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,8.86,0,0,0,0,7.25,0
 48-58,0,0,0,0,2.3,0,0,0,0,0.57,0,0,4.59,0,0,0,0,0,0
 60-70,0,0,0,0.98,2.94,0,3.93,0,0,1.96,0,0,5.89,0.98,0,0,0,0.98,0
 72-82,0,0,0,0.98,0.98,0,0.98,0,0.98,1.96,0,0,4.91,0,0,0,0,0.98,0
 84-94,0,0,0,0,4.25,0,2.12,0,0,0,0,0,3.19,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,1.09,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.53,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,3.92,0,0,1.96,3.92,0,1.96,0,0,0,0,0,1.96
