stage,blastomeres,epidermis,exocrine.pancreas,eye,gut,melanocytes,mesenchyme,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,5.26,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,6.29,0,0
 24-34,0,0,0,0,0,0,0.82,0.82,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,1.06,1.06,0,0,0,0,1.06,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0
