stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,988.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,104.2,821.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,21.03,0,0,10.51,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,155.09,0,0,0,60.46,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,12.59,0,0,25.18,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,6,0,0,0,0,0,0,0,0,2,0,0,0,21,0,1,0,0,4,27,1,0,0,1,0,0,3,1,1,18,0,0,1,0,0
 24-34,0,0,0,1.64,1.64,0,0,0,0.82,0,0,0.82,21.34,0,0,0,23.8,0,7.39,0,0,2.46,35.3,0,0.82,0,0,0,0,0,0,0,6.57,0,0,17.24,0,0
 36-46,0,0,0,0.81,0,8.86,0,0,0.81,0,0,0,33.03,0,0,0,4.03,0,4.03,0,0,0,52.37,0,0,0,0,0,0.81,0,0,0,8.86,0,0,5.64,0,0
 48-58,0,0,0,1.15,0.57,14.35,0,0.57,6.31,0,0,0,22.95,0.57,0,0,1.72,2.3,10.33,0,1.72,1.72,32.13,0,0.57,0.57,0,0,0.57,0,0,0,8.03,0,0,10.33,0,0
 60-70,0,0,0,3.93,0,18.65,1.96,0,6.87,1.96,0,1.96,32.39,0.98,0,0.98,2.94,0,15.7,0.98,2.94,0.98,38.28,0,0,0,0,0,7.85,0,0,0,6.87,0,0.98,8.83,0.98,0
 72-82,0,0,0,7.85,1.96,12.76,0.98,0,6.87,0.98,0,2.94,47.12,0.98,0,0,2.94,0,35.34,1.96,9.82,0.98,27.49,0,0,1.96,0,2.94,14.72,0,0,0,5.89,1.96,0.98,27.49,0.98,1.96
 84-94,0,0,0,12.74,0,5.31,2.12,0,4.25,2.12,0,5.31,82.84,3.19,2.12,2.12,3.19,4.25,12.74,0,10.62,1.06,20.18,0,0,1.06,0,1.06,39.3,0,0,0,2.12,0,1.06,26.55,3.19,1.06
 96-106,0,0,0,21.86,1.09,14.21,6.56,0,12.02,0,0,4.37,83.06,5.46,0,0,14.21,0,27.32,0,10.93,3.28,22.95,0,0,1.09,0,1.09,115.84,0,0,0,0,5.46,0,22.95,4.37,1.09
108-118,0,0,0,19.92,0.77,6.89,7.66,0,8.43,3.83,0,4.6,60.51,5.36,0.77,0.77,8.43,1.53,22.98,0.77,7.66,2.3,27.57,0,0.77,0,0,0.77,81.96,0,0,0,1.53,3.06,0.77,28.34,2.3,0.77
120,0,0,0,11.76,1.96,0,11.76,0,3.92,0,0,7.84,74.47,5.88,3.92,1.96,1.96,0,23.52,1.96,7.84,0,17.64,1.96,1.96,1.96,0,0,115.63,1.96,0,0,0,1.96,0,17.64,0,0
