stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,3,46,8,0,8,0,1,0,4,1,2,3,3,3,0,1,0,1,25,0,0,12,125,6,2,1,6,0,27,0,149,2,11,132,48,0,0,9,0,0
 24-34,0,1.64,1.64,35.3,8.21,0,32.01,0,7.39,2.46,7.39,0,0,6.57,8.21,5.75,0.82,1.64,0.82,1.64,40.22,0,0,36.94,360.36,4.93,4.93,4.93,0,0,82.91,0,0,5.75,5.75,34.48,82.91,0,0,32.01,0,0
 36-46,0,0,0.81,8.86,22.56,0,66.06,3.22,5.64,2.42,11.28,0.81,0,1.61,8.86,0.81,0,0,0.81,2.42,47.53,0.81,3.22,16.11,534.96,4.83,12.09,3.22,0,0,66.06,0,0,1.61,1.61,0,107.96,0,0,24.17,0,2.42
 48-58,0,0.57,0,14.92,33.85,0,117.63,2.87,5.74,4.02,34.43,1.15,0,4.59,8.03,0.57,1.15,2.3,1.15,3.44,98.69,3.44,5.74,18.36,640.37,1.15,5.74,4.02,0,0.57,57.95,0,0,0.57,3.44,0,97.55,0,1.15,29.26,0,3.44
 60-70,0,0,0,21.59,30.43,0,169.8,2.94,6.87,5.89,43.19,0.98,0,4.91,21.59,1.96,1.96,0.98,0,0.98,119.75,2.94,4.91,14.72,827.42,1.96,12.76,6.87,0,0.98,48.09,0,0,0,2.94,0,68.71,0,3.93,22.58,2.94,3.93
 72-82,0,4.91,0,25.52,121.73,0,229.71,1.96,2.94,7.85,68.72,6.87,0,6.87,20.61,0.98,2.94,7.85,2.94,0.98,184.55,2.94,10.8,18.65,743.12,4.91,19.63,6.87,0,0.98,47.12,0,0,3.93,0.98,0,44.17,1.96,6.87,46.14,8.83,4.91
 84-94,0,4.25,2.12,57.35,92.4,0,191.17,1.06,8.5,11.68,45.67,21.24,0,2.12,55.23,5.31,4.25,4.25,7.43,3.19,129.57,3.19,8.5,13.81,409.95,6.37,12.74,3.19,0,1.06,154,0,0,8.5,1.06,0,20.18,2.12,5.31,64.78,19.12,5.31
 96-106,0,5.46,0,45.9,85.24,0,144.26,4.37,8.74,7.65,52.46,14.21,1.09,4.37,54.64,14.21,6.56,2.19,4.37,1.09,114.75,6.56,7.65,8.74,323.48,9.84,24.04,5.46,0,1.09,125.68,0,0,3.28,1.09,0,19.67,4.37,3.28,52.46,13.11,6.56
108-118,0,2.3,0,46.72,55.92,2.3,125.62,4.6,12.26,3.83,37.53,16.09,0,3.06,43.66,8.43,3.06,2.3,6.89,2.3,80.43,6.13,3.06,11.49,342.39,4.6,9.96,7.66,0,3.06,89.62,0,0,6.13,0,0,11.49,7.66,3.83,43.66,6.13,2.3
120,0,1.96,0,74.47,66.63,0,117.59,5.88,17.64,1.96,54.87,19.6,0,0,62.71,5.88,7.84,3.92,9.8,0,68.59,1.96,3.92,7.84,370.4,3.92,5.88,3.92,0,3.92,101.91,1.96,0,3.92,0,0,11.76,1.96,0,47.03,11.76,3.92
