stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,39.53,975.17,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0
  5-6,42.91,784.59,0,0,0,0,6.13,0,0,0,24.52,0,0,12.26,18.39,0,0,0
  7-9,7.89,0,7.89,0,23.66,0,7.89,0,0,0,273.39,7.89,0,68.35,0,0,0,0
 10-12,0,9.44,6.29,0,22.03,0,0,0,0,0,116.44,0,0,31.47,3.15,3.15,3.15,0
 14-21,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0.82,0,0,5.75,0,0,0,0.82,0,0,1.64
 36-46,0,0,0,0,0,0,0,0.81,0,0,8.06,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,0,0.57,0.57,0,1.72,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,3.93,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0
