stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,3.28,0,3.28,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,6.57,0,0,1.64,53.36,0,0.82,0.82,0,1.64,0.82,0.82,20.52,0,0,3.28,0,0
 36-46,0,0,0.81,0,13.7,1.61,0,0.81,4.03,0,0,0.81,0,0,0,0,0,0,5.64,0,0,4.03,104.74,0,2.42,0,0,3.22,0,0,36.26,0,0,1.61,0,0.81
 48-58,0,0,2.3,0,14.35,0,0,0,5.74,0,0,0,0,0.57,0.57,0,0,0,7.46,0,0,1.15,91.81,0,0.57,0,0,1.72,0,0,16.07,0,0,1.72,0,0
 60-70,0,0,2.94,1.96,45.15,0,0,0.98,2.94,0,0,0,0.98,0,0,0,0,0,9.82,0.98,0,1.96,114.84,0.98,1.96,0,0,2.94,0.98,0,21.59,0,0,0.98,0,0.98
 72-82,0,0.98,3.93,11.78,61.84,1.96,0,1.96,10.8,0,0.98,0.98,0.98,0,0,0,0,0,29.45,0.98,0.98,2.94,91.29,0,0.98,0,0.98,2.94,0,0,16.69,0,0.98,5.89,0,0
 84-94,0,0,3.19,10.62,46.73,0,0,2.12,6.37,2.12,0,0,3.19,2.12,1.06,1.06,0,0,30.8,0,1.06,0,86.03,0,2.12,2.12,0,13.81,0,0,10.62,1.06,1.06,1.06,2.12,2.12
 96-106,0,0,2.19,14.21,42.62,0,0,2.19,14.21,3.28,0,3.28,3.28,1.09,1.09,1.09,1.09,0,26.23,1.09,1.09,1.09,46.99,0,0,3.28,1.09,8.74,1.09,0,3.28,0,0,4.37,0,1.09
108-118,0,0,9.96,2.3,39.06,0.77,3.06,0,13.79,1.53,0,0.77,7.66,0.77,0.77,2.3,0,2.3,29.87,1.53,0,1.53,101.11,0,0.77,1.53,2.3,9.19,0,0,6.89,0.77,0.77,3.83,0.77,3.06
120,0,0,3.92,3.92,21.56,0,0,1.96,9.8,1.96,0,0,5.88,0,1.96,0,0,0,25.48,0,1.96,0,76.43,0,0,7.84,0,5.88,0,0,7.84,0,0,7.84,0,0
