stage,eye,gut,hatching.gland,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0.81,1.61,0
 48-58,1.15,0,0.57,0,0,0,0.57,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,2.94,0,0.98,1.96,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,1.06,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0
 96-106,0,2.19,0,0,0,1.09,0,0,0,2.19,0,0,0,1.09,0
108-118,0.77,3.83,0,0,0.77,0,0,0.77,0,0.77,0,0,0.77,1.53,0
120,0,5.88,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0
