stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.28,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,22,0,0,2,33,1,0,0,2,15,0,0,0,0,0
 24-34,0,0.82,9.85,0,0,5.75,0,0.82,1.64,0.82,0,0,0,4.1,0,0,0,2.46,0,0,2.46,60.74,0,5.75,0,39.4,0,0,0,0.82,7.39,0,0,0,0,0
 36-46,0,0,3.22,0,0,6.45,0,0,4.03,0.81,0,0,0,0.81,0,0.81,0,1.61,0.81,0,0,61.23,0,2.42,0,29,0,0,0.81,0,8.86,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,12.05,0.57,0,0.57,0.57,0,0.57,0,0.57,0,0.57,0,4.02,0.57,0,0,37.87,0,2.3,0,13.77,0,0,0.57,0,4.02,0,0,0,0,0
 60-70,0,0,4.91,0,0,24.54,0.98,0,4.91,0,1.96,0,0,0,0,0.98,0.98,3.93,2.94,0,0,78.52,0,0.98,0,10.8,0,0,0,0,11.78,0.98,0,0.98,0,0
 72-82,0,0,7.85,0.98,0,34.36,0,0,7.85,2.94,0.98,0,0.98,2.94,0,9.82,0,4.91,2.94,0,0.98,49.08,0,7.85,1.96,12.76,0,0,0,0,6.87,0.98,0,0,0.98,0
 84-94,0,0,11.68,0,0,12.74,0,1.06,3.19,6.37,0,0,0,7.43,1.06,5.31,0,4.25,6.37,0,0,18.05,0,21.24,2.12,21.24,0,0,0,0,2.12,1.06,0,2.12,0,0
 96-106,0,0,22.95,0,0,10.93,0,1.09,3.28,21.86,0,1.09,0,7.65,0,16.39,0,6.56,5.46,0,1.09,25.14,0,29.51,1.09,17.49,0,0,0,0,1.09,12.02,1.09,1.09,0,0
108-118,0,0,21.45,0,0.77,6.13,0.77,0,3.83,32.17,0,0,0.77,6.13,0,13.02,0,3.06,3.06,0.77,0,19.92,0.77,16.85,0,20.68,0,0.77,0,0,0.77,13.79,0,0,0,0
120,0,0,27.44,0,0,9.8,0,0,0,25.48,0,0,0,5.88,0,11.76,0,5.88,1.96,0,0,17.64,0,17.64,0,23.52,0,0,0,0,0,7.84,0,1.96,1.96,1.96
