stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,5.26,0,0,0,10.51,0,0,0,0,0,0,21.03,2.63,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,25.18,3.15,0,0,18.88,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,1,0,2,2,4,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,1.64,0,0,2.46,0,0,0,0,2.46,0,0.82,13.13,0.82,0,0.82,0,1.64,0,0,0.82,4.1,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,3.22,0,0.81,0.81,0,0,0,0,2.42,0.81,0.81,17.72,0,0,0,0,1.61,0,0,0,4.83,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,4.59,0,0.57,13.2,0,0,0.57,1.72,1.15,0,1.72,13.2,0.57,0.57,0,0,1.15,0,0,0,4.59,0,0,0
 60-70,0,0,2.94,0,0,0.98,0,6.87,0,0.98,25.52,0,0.98,0,0,3.93,0,0,7.85,0,0,0.98,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,17.67,0,0,2.94,0,11.78,0,3.93,124.67,0,0,0,1.96,3.93,0,0.98,26.5,0,0,0,0,1.96,0,0,0,0,0.98,0,0
 84-94,0,0,7.43,0,0,0,0,6.37,0,4.25,183.73,0,0,0,1.06,4.25,0,1.06,13.81,0,1.06,1.06,0,4.25,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,13.11,0,3.28,0,0,8.74,1.09,2.19,239.33,0,0,0,1.09,4.37,0,0,34.97,0,0,2.19,0,1.09,0,0,0,0,0,0,2.19
108-118,0,0,7.66,0,0.77,0,0.77,4.6,0,0,256.6,0,0,0,1.53,3.06,0,0,28.34,0,0,0,0,2.3,0,0,0,0.77,0,0.77,0.77
120,0,0,9.8,0,3.92,0,0,0,1.96,0,170.5,0,0,0,0,3.92,0,0,17.64,0,0,0,0,3.92,0,0,0,0,0,0,0
