stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,100,1,1,0,1,0,0,0,3,0,0,0,81,0,0,0,0,0
 24-34,0,2.46,3.28,0,0,8.21,0,0.82,0,1.64,0,0,3.28,0,0,0,0,0.82,1.64,0,0.82,633.7,0,22.98,0,0,0,0,0,0,0.82,0.82,0,261.85,0,0,0.82,0,0.82
 36-46,0,1.61,2.42,0,0,53.98,0,0.81,0,6.45,0,0,0.81,0,0,0,0,0,4.03,0,0.81,1696.74,0,31.42,0,0,0,2.42,0,0,0,0,0.81,451.17,0,0,0.81,0,0
 48-58,0,0.57,6.31,0.57,0,261.08,0.57,0.57,0.57,25.82,0,1.15,1.72,0.57,0.57,0.57,0,1.72,25.25,1.15,4.02,2331.94,1.15,32.13,2.3,0,0,4.59,0,0,0,0.57,0,484.29,0,0,2.3,0,0.57
 60-70,0,0.98,3.93,2.94,0,817.61,1.96,1.96,0.98,41.22,0.98,0,4.91,0.98,1.96,0,0,0,26.5,2.94,0.98,3228.23,0.98,28.46,3.93,0,0,2.94,0,0,0,0.98,0,492.72,0,0,3.93,0,2.94
 72-82,0,2.94,21.6,6.87,0,1096.52,0,0,3.93,76.57,0,0,11.78,0.98,6.87,0.98,0,0,56.94,1.96,1.96,2890.01,0.98,42.21,3.93,0,0.98,6.87,0,0,0,0.98,0,290.57,0.98,0,1.96,2.94,2.94
 84-94,0,0,37.17,6.37,0,710.5,1.06,0,1.06,87.09,3.19,2.12,21.24,2.12,5.31,1.06,1.06,2.12,43.54,4.25,1.06,1661.03,1.06,40.36,2.12,0,0,12.74,0,0,1.06,0,0,187.98,1.06,2.12,2.12,2.12,2.12
 96-106,0,6.56,14.21,3.28,0,641.5,1.09,3.28,4.37,81.96,1.09,0,13.11,5.46,4.37,0,2.19,1.09,39.34,1.09,2.19,1379.17,0,66.66,2.19,0,0,9.84,1.09,0,1.09,0,0,75.41,0,0,1.09,1.09,3.28
108-118,0,0.77,19.15,5.36,0.77,477.96,0.77,0.77,0.77,76.6,3.83,0,11.49,0.77,0.77,0,0.77,0,25.28,1.53,0.77,1573.29,0.77,43.66,1.53,0,0,6.13,0,0,0,0,0,52.09,0.77,1.53,1.53,3.06,0
120,0,3.92,15.68,1.96,0,390,1.96,5.88,1.96,92.11,1.96,1.96,15.68,7.84,1.96,1.96,1.96,0,29.4,0,5.88,1695.21,1.96,33.32,5.88,0,1.96,3.92,0,0,1.96,0,0,66.63,0,0,1.96,1.96,0
