stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,20,0,0,0,0,3,0,3,8,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,4.93,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,0.81,0,0,0.81,0,0.81,0.81,0.81,0.81,20.95,0,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,5.16,0.57,1.72,0,0,0,0,0,0,0.57,0.57,6.31,0,0.57,0,0,0,0,0,2.3,0,1.15
 60-70,0,0,0,0,5.89,0,1.96,0,0,0,0,0,2.94,0,0,4.91,0,0,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,4.91,0,0,3.93,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,1.06,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0.77,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
