stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,674.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,26.29,0,0,55.2,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,315.45,0,0,0,107.78,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,22.03,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.55,3.15,0,0,81.82,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,2,5,6,10,0,0,0,3,0,0,0,0,0,0,0,0,1,11,0,7,154,3,1,2,1,0,1,9,0,16,8,44,0,0,4,0,0
 24-34,0,0,1.64,3.28,1.64,45.15,0,0,0,6.57,2.46,0,1.64,1.64,0.82,0,0.82,0,0,27.91,0,8.21,224.09,3.28,0.82,3.28,0,0,1.64,0,0,5.75,0,50.89,0,0,18.88,0,0.82
 36-46,0,0,0,2.42,0,50.76,0,0,0,1.61,0,0,0.81,0.81,0,0,0,0,0,28.2,0,5.64,132.13,2.42,0,0,0,0,0,0,0,0.81,0,17.72,0,0,5.64,0,0
 48-58,0,0,0,1.72,0,61.97,0,0,0.57,5.74,0,0,0,0.57,0,0.57,0,0,0.57,28.69,0,1.72,110.17,0,0,1.15,0,0.57,0,0,0,0,0,12.05,0,0.57,4.02,0,0
 60-70,0,0,0,3.93,0,58.89,0,0,0,9.82,0,0,0.98,0,0,0.98,0,0,0,19.63,0,1.96,71.65,1.96,0,0,0,0,0,0,0,0,0,6.87,0,0,2.94,0,0
 72-82,0,0,0,0,0,30.43,0,0,0,8.83,0,0,0,0.98,0,0,0.98,0,0,29.45,2.94,0.98,71.66,0,0,0,0,0.98,0,0,0,0,0,5.89,0,0,4.91,0.98,0.98
 84-94,0,0,0,0,0,22.3,0,1.06,0,5.31,0,0,0,0,0,0,0,1.06,0,16.99,0,3.19,31.86,0,1.06,1.06,0,0,0,0,0,0,0,2.12,0,0,1.06,0,0
 96-106,0,0,0,0,0,27.32,1.09,0,0,5.46,1.09,0,0,1.09,0,1.09,0,0,0,14.21,1.09,0,20.76,0,1.09,1.09,0,1.09,0,0,0,0,0,1.09,1.09,1.09,5.46,0,1.09
108-118,0,0,0,0.77,0,12.26,0,0,0,4.6,0,0,0,1.53,0,0,0,0,0,6.13,0.77,0.77,33.7,0,0,0,0,1.53,0,0,0,0,0,0.77,0,0,2.3,0.77,0
120,0,0,0,0,0,15.68,0,0,0,9.8,0,0,0,1.96,0,0,0,0,0,3.92,0,7.84,33.32,0,0,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0
