stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,386.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,15.77,0,0,65.72,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,425.85,15.77,0,0,178.75,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,37.76,0,12.59,53.5,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,478.34,34.62,0,0,160.5,0,3.15,0,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,56,22,5,0,0,0,5,0,0,5,0,2,0,1,0,0,25,0,0,21,153,2,0,1,2,0,5,1,13,2,1,10,50,0,0,21,0,0
 24-34,0,0,1.64,0,27.09,4.93,28.73,0,4.93,3.28,7.39,0.82,0,5.75,2.46,2.46,0,5.75,0,0.82,58.28,1.64,0,26.27,295.51,1.64,3.28,7.39,0,0.82,18.06,0,0,0.82,0,2.46,59.92,0,0,47.61,0,0.82
 36-46,0,0,0.81,0,10.47,1.61,65.26,0,0.81,1.61,12.89,0,0,0.81,0.81,2.42,0,4.03,1.61,0,58.81,0.81,1.61,16.92,238.48,0.81,4.83,5.64,0,0.81,12.09,0,0,0,0,0,61.23,0,0,40.28,0,1.61
 48-58,0,0,0,0,7.46,0,60.25,0.57,2.3,1.15,10.9,0,0,4.59,0.57,0.57,0,4.02,0,0.57,47.05,0.57,1.72,6.89,117.63,0,1.15,2.87,0,0,8.03,0,0,0,0,0,22.95,0,0.57,20.66,0,1.72
 60-70,0,0,0,0,18.65,0,53.98,0,1.96,1.96,21.59,1.96,0.98,2.94,1.96,1.96,1.96,4.91,0.98,0,71.65,1.96,4.91,5.89,188.45,0,5.89,3.93,0,0.98,13.74,0,0,0,0,0,30.43,0,0.98,40.24,0.98,0
 72-82,0,0,0.98,0,12.76,0.98,27.49,0,0.98,1.96,27.49,1.96,0,4.91,3.93,0,0.98,7.85,0,0,69.7,0.98,3.93,4.91,123.69,0,4.91,1.96,0,0.98,8.83,0,0,0,0,0,8.83,0,1.96,44.17,0.98,0.98
 84-94,0,0,1.06,0,20.18,1.06,21.24,1.06,4.25,1.06,13.81,6.37,0,1.06,8.5,0,1.06,4.25,0,1.06,69.03,1.06,5.31,6.37,83.9,0,1.06,6.37,0,0,18.05,0,0,1.06,1.06,0,9.56,2.12,1.06,53.1,2.12,2.12
 96-106,0,0,0,0,12.02,3.28,18.58,0,3.28,0,20.76,6.56,0,5.46,2.19,4.37,0,14.21,0,1.09,50.27,0,1.09,4.37,51.36,0,8.74,4.37,0,0,13.11,0,0,0,1.09,0,3.28,5.46,0,43.71,5.46,3.28
108-118,0,0,1.53,0,16.85,2.3,18.38,0,5.36,0.77,15.32,9.96,0,0,6.13,2.3,2.3,9.19,0.77,0,41.36,3.06,1.53,7.66,89.62,0,4.6,9.19,0,0.77,13.79,0,0,0,0.77,0,0.77,6.89,2.3,32.17,0,2.3
120,0,0,0,0,5.88,9.8,15.68,1.96,1.96,0,19.6,9.8,0,3.92,15.68,0,0,1.96,0,0,41.16,1.96,0,5.88,66.63,0,0,3.92,0,0,11.76,0,0,1.96,1.96,0,5.88,7.84,1.96,27.44,0,1.96
