stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,7.89,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,84.12,0,0,0,44.69,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,15.73,0,0,0,0,0,3.15,0
 14-21,0,0,1,1,0,0,4,0,1,0,1,0,0,1,0,4,0,3,46,1,0,0,0,1,0,1,0,3,26,0
 24-34,0,0,0,3.28,0,0,9.03,0,0,0.82,0,0,0,0,0,8.21,0,1.64,102.61,0,0,0.82,0,0.82,0,0,0.82,0,23.8,2.46
 36-46,0,0,0,0,0.81,0,29,0,2.42,0,0,0,0,0,0.81,4.83,0,0,73.32,0,0,0.81,0,0.81,0,0,3.22,0,18.53,0.81
 48-58,0,0,0,0.57,0,0,22.95,0,2.3,0,0,0,0,0,0,4.59,0,1.15,36.15,0,0,0.57,0,0.57,0,0,0.57,0,2.87,0.57
 60-70,0,0,0,0,0,0,20.61,0.98,6.87,0.98,0,0,0,0,0,5.89,0,0,57.91,0,2.94,0,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0.98,0.98,0,8.83,0.98,6.87,0,0,1.96,0,0.98,0,3.93,0.98,0,78.53,0,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,3.19,0,0,10.62,0,8.5,0,0,0,1.06,0,0,2.12,0,0,48.85,0,1.06,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,1.09,0,1.09,5.46,0,7.65,0,0,0,0,0,0,1.09,0,0,45.9,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,3.06,0,0,3.06,0.77,8.43,2.3,0,0,0.77,0.77,0,6.89,0,0.77,78.89,0,0,0,0,1.53,0,0,1.53,0,1.53,0
120,0,0,0,3.92,3.92,0,7.84,0,9.8,0,0,0,0,0,0,3.92,1.96,0,60.75,1.96,0,0,0,0,0,0,0,0,0,0
