stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,55.17,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,4.93,0,0,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,0.81,4.83,0.81,0,0,0,1.61,0,1.61
 48-58,0,0,0,0.57,0,1.72,0,0,1.15,0,0.57,0,0,5.74,0,0.57,0.57,3.44,0,0,0,0,0,0,6.31
 60-70,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,3.93,0,0,0,4.91,0,0,0,0,0,0.98,18.65
 72-82,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,6.87,0,0,0,6.87,0,0.98,0,0,0,0,72.64
 84-94,0,0,0,1.06,0,3.19,1.06,0,0,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0,0,1.06,58.41
 96-106,0,0,0,0,1.09,4.37,0,1.09,1.09,1.09,0,1.09,0,1.09,1.09,0,0,5.46,0,0,3.28,1.09,0,0,127.86
108-118,0,0,0,0,0,6.13,1.53,0,0,0,0,0.77,0.77,4.6,0,0,0,4.6,0.77,0,0,0.77,0.77,0,78.13
120,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,11.76,1.96,0,1.96,0,0,0,111.71
