stage,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,15.6,0,0,7.39,0,0.82,0,0,0,0,9.03
 36-46,0,0,0.81,0,0,0,0.81,0,1.61,41.09,1.61,0,0.81,0,0.81,0,0.81,0,0,20.14
 48-58,0,0,1.72,0,0,0.57,1.15,0.57,0,29.84,0,0.57,4.59,0,0,0,1.15,0,0,29.26
 60-70,0.98,0,1.96,0,0,19.63,0,0,1.96,14.72,2.94,0,4.91,0,0,0,0,0,0,33.37
 72-82,0,0,0,0,0,53.01,0,0,1.96,15.71,14.72,0,7.85,0,1.96,0,0,0,0,22.58
 84-94,3.19,0,3.19,0,0,62.66,2.12,0,1.06,21.24,7.43,0,4.25,1.06,1.06,0,0,0,0,16.99
 96-106,1.09,0,5.46,1.09,0,71.04,4.37,0,3.28,21.86,5.46,1.09,4.37,2.19,4.37,1.09,1.09,1.09,0,26.23
108-118,2.3,0.77,1.53,0,0,65.87,2.3,0,15.32,21.45,7.66,0,3.06,0,1.53,0,0,0,0.77,28.34
120,1.96,0,5.88,0,1.96,54.87,3.92,0,3.92,5.88,1.96,1.96,1.96,0,0,0,0,0,0,9.8
