stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,8,1,0,0,0,0,0,0,0,1,0,0,6,6,1,0,1,0,0,1,0,10,0,0,2,0,0
 24-34,0,1.64,8.21,1.64,2.46,0,0,0,0.82,0,0.82,0,0,14.78,0,2.46,9.03,0,0,0,0,0,0,1.64,2.46,4.93,0,8.21,0,0
 36-46,0,0,1.61,0,0,0,0,0.81,0,0,0,0,0,10.47,0,0,2.42,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.72,0.57,0,0,1.72,0,0.57,0,0,17.21,0.57,3.44,4.59,0.57,0,0,0,0,0,0,0,0,0.57,3.44,0,0
 60-70,0,0,0.98,0,3.93,0,0.98,1.96,1.96,0,0,0,0.98,45.15,0,6.87,2.94,0,0.98,0,0,0,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,0,2.94,0,0,0.98,0.98,0,28.47,0.98,0.98,5.89,0,0,0,1.96,0,0,0,0,0,1.96,4.91,0,0.98
 84-94,0,0,0,0,0,1.06,0,1.06,2.12,0,0,0,0,26.55,0,5.31,1.06,0,0,0,2.12,0,0,0,0,0,0,6.37,1.06,0
 96-106,0,0,0,0,0,0,0,0,1.09,1.09,0,0,0,12.02,1.09,2.19,0,0,0,0,0,1.09,0,0,0,0,0,5.46,1.09,0
108-118,0,0,1.53,0.77,1.53,0,0,3.06,0.77,0.77,0,0.77,0.77,23.74,0.77,3.06,3.06,0,0,0,0.77,0,0,0,0,0,0.77,5.36,0.77,0.77
120,0,0,3.92,0,1.96,0,0,0,0,0,3.92,0,0,21.56,1.96,5.88,3.92,0,0,0,0,0,0,0,0,0,0,5.88,0,0
