stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,92.25,988.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0
  5-6,42.91,649.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,116.46,0,0,0,0,0,0,0,0
  7-9,7.89,0,7.89,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,318.07,18.4,0,0,189.27,18.4,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,3.15,100.7,12.59,0,0,44.06,6.29,0,3.15,3.15,0,3.15,0,0,0
 14-21,0,0,1,4,3,1,0,0,48,1,1,0,0,0,0,0,1,0,2,25,0,2,3,3,1,0,1,52,1,105,0,0,0
 24-34,0,0,0,1.64,0,1.64,0,0,53.36,0,2.46,0,0,0,0,0.82,6.57,0,1.64,26.27,0.82,15.6,2.46,0,4.93,0,0,58.28,3.28,112.46,0,0.82,2.46
 36-46,0,0,0,0,0,0.81,0,0.81,47.53,0,1.61,0.81,0,0,0.81,0,0,0,0,33.84,0,24.17,0.81,0,1.61,0,0,20.95,0,70.09,0,0,0
 48-58,0,0,0,0,0,8.61,0,0,45.9,0,0,1.72,0,0,1.15,0,1.72,0,0,21.8,0,20.66,4.59,0,0,0,0,7.46,0,70,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0.98,30.43,0,0,1.96,0,0,5.89,0,1.96,0.98,0,23.56,0,13.74,9.82,0,0,0,0,3.93,0,33.37,0,0,0
 72-82,0,0,0,0.98,0,6.87,0,0,52.03,0,0,1.96,0,0,4.91,0,3.93,0,0,28.47,0,33.38,9.82,0,0.98,0,0,4.91,0,19.63,0.98,0,0.98
 84-94,0,0,1.06,2.12,0,5.31,0,1.06,33.99,1.06,0,7.43,0,0,3.19,0,3.19,0,0,19.12,0,31.86,20.18,0,1.06,1.06,0,10.62,0,27.61,0,0,0
 96-106,0,0,2.19,2.19,0,6.56,0,0,36.06,0,0,7.65,0,0,10.93,0,1.09,0,0,7.65,0,55.74,24.04,0,2.19,0,0,5.46,0,27.32,1.09,0,0
108-118,0,0,2.3,0.77,0,3.06,0,0,22.98,0,0,7.66,0.77,0.77,6.89,0.77,0.77,0,0,11.49,0,36.77,18.38,0,0.77,0,0,8.43,0,16.09,0,0,0
120,0,0,0,1.96,0,7.84,1.96,0,9.8,1.96,0,1.96,0,0,9.8,0,5.88,0,0,21.56,0,31.36,17.64,0,0,0,0,1.96,0,13.72,0,0,0
