stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,81.82,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,12,2,0,0,0,0,0,1,8,0,0,0,0
 24-34,0,0,0,16.42,0,8.21,13.13,0,0,0.82,0,0,0.82,0,0,0,0,0,7.39,0,0,2.46,41.04,2.46,0,1.64,0,0,0,0,14.78,0,0,0,0
 36-46,0,0,0,4.83,0,6.45,8.86,0,2.42,0,0,0.81,0,0,2.42,0,0,0,4.83,0.81,0,0.81,98.29,0.81,0,3.22,0,0,0,0,34.64,0,0.81,0,0
 48-58,0,0,0,2.3,0,8.61,5.16,0.57,9.75,0.57,0,0,0,0,2.3,0.57,0.57,0,9.18,0,0,1.15,50.49,2.87,0,2.3,0,0,0,0,19.51,0,0.57,0,0.57
 60-70,0,0,0,3.93,0,22.58,2.94,0,9.82,1.96,0,2.94,0,0,2.94,0.98,0.98,0,29.45,0,1.96,1.96,51.04,5.89,0,4.91,0,0,0,1.96,28.46,1.96,0.98,0,0
 72-82,0,0,0,3.93,0,60.86,4.91,0,14.72,0,0,1.96,0.98,0,4.91,2.94,0.98,0,35.34,0,1.96,0,56.94,2.94,0,6.87,0,0,0,0.98,12.76,0.98,2.94,3.93,0
 84-94,0,0,0,1.06,0,56.29,7.43,0,13.81,1.06,0,0,0,1.06,4.25,1.06,0,1.06,35.05,0,4.25,0,36.11,4.25,0,10.62,0,1.06,0,0,12.74,3.19,2.12,2.12,0
 96-106,0,0,0,1.09,0,29.51,4.37,1.09,17.49,6.56,0,2.19,0,0,6.56,2.19,0,1.09,36.06,0,3.28,0,48.09,4.37,0,24.04,0,0,1.09,2.19,9.84,3.28,4.37,3.28,0
108-118,0,0,1.53,4.6,0.77,26.81,10.72,0,13.79,3.83,0,0,0.77,0,14.55,3.06,0,1.53,26.04,0,3.83,0,39.83,3.83,0.77,10.72,0,0,2.3,0,4.6,0,1.53,6.13,0
120,0,0,0,9.8,0,25.48,9.8,0,11.76,1.96,0,0,0,1.96,7.84,0,0,0,11.76,0,5.88,1.96,19.6,1.96,0,5.88,0,0,0,0,9.8,1.96,0,0,0
