stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,24.52,232.93,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,6.13,12.26,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,107.78,7.89,0,36.8,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,3.15,0,15.73,0,0,0,0,9.44,0,0,0,0,0,0,0,163.64,6.29,0,62.94,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,8,0,1,0,0,2,1,0,2,4,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,3.28,0,0.82,0,0,0.82,4.93,0,7.39,0,0.82,0,0,0.82,0,5.75,0.82
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,1.61,0,0.81,0,0,0,4.03,0,5.64,0,1.61,0,0,0.81,0,2.42,0
 48-58,0,0,0,0,0,0,2.87,0,0,0.57,0,0,0,0,0,3.44,0,1.15,0,0.57,0,9.18,0,0,0,0,0.57,0,1.15,0
 60-70,0,0,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,13.74,0,0,0,1.96,0,15.7,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,19.63,0,1.96,0,6.87,0,30.43,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,1.06,0,1.06,0,1.06,0,0,2.12,1.06,38.23,0,0,0,0,0,32.92,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,55.74,0,3.28,1.09,3.28,0,34.97,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,0.77,1.53,0,0,0,0,0,0,0.77,0,0,33.7,0.77,2.3,1.53,2.3,0,28.34,0,0,0,0.77,1.53,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,33.32,0,1.96,0,3.92,0,33.32,0,3.92,0,0,1.96,0,1.96,0
