stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,21,3,0,12,0,0,0,4,1,44,1,0,0,0,0,0,0,8,0,0,8,116,4,0,0,2,0,2,0,12,2,2,37,31,0,0,0,0,0
 24-34,0.82,0,0.82,16.42,0.82,0,26.27,9.03,0.82,0,1.64,0,9.03,0,1.64,0,0,0,0,0,18.88,0.82,0,12.31,187.16,0,3.28,1.64,0,0,1.64,0,0,13.13,0.82,29.55,51.71,0,0,11.49,0,0
 36-46,0,0,0,19.34,0.81,0,25.78,25.78,0,0.81,11.28,0,0,0,1.61,0,0,1.61,0.81,1.61,12.89,0,0.81,9.67,149.05,0,0.81,0,0,1.61,3.22,0,0.81,2.42,2.42,1.61,40.28,0,0,4.03,0,0.81
 48-58,0,0,0,16.07,0.57,0,78.61,45.9,1.72,1.15,16.64,0,0.57,0.57,2.3,0,0.57,0.57,0,0,25.25,0,1.15,9.75,132.55,0.57,1.15,0.57,0,0,4.59,0,0,1.15,5.16,0,32.13,0,0,2.87,0,1.15
 60-70,0,0.98,0,19.63,1.96,0,65.76,40.24,2.94,1.96,17.67,0,0,0,5.89,0,0.98,0,0,0.98,17.67,0,0.98,6.87,97.17,0,0.98,0.98,0,0,6.87,0,0,1.96,13.74,0,12.76,0.98,0,3.93,0.98,0
 72-82,0,0,0,12.76,3.93,0,65.77,17.67,2.94,2.94,28.47,1.96,0,0.98,9.82,0.98,0,0,0.98,0,38.28,0,0.98,7.85,87.37,0,2.94,0.98,0,0.98,6.87,0,0,0,2.94,0,13.74,0.98,2.94,7.85,0,0.98
 84-94,0,0,0,27.61,7.43,0,61.6,10.62,5.31,3.19,19.12,0,0,0,8.5,1.06,0,1.06,0,1.06,14.87,1.06,1.06,6.37,53.1,0,0,1.06,0,1.06,16.99,0,0,2.12,6.37,0,7.43,0,2.12,3.19,1.06,0
 96-106,0,0,0,28.41,5.46,0,67.76,22.95,3.28,1.09,18.58,1.09,0,0,19.67,1.09,2.19,0,1.09,1.09,27.32,1.09,2.19,7.65,43.71,1.09,1.09,2.19,0,0,17.49,1.09,0,0,5.46,0,7.65,0,0,7.65,1.09,0
108-118,0,0,0,36,2.3,2.3,39.83,12.26,5.36,0.77,18.38,4.6,0,0,13.02,1.53,0.77,0,3.06,1.53,14.55,0.77,0,5.36,41.36,0.77,0,0,0,0.77,12.26,0,0,2.3,7.66,0,2.3,0.77,0,9.19,0,0.77
120,0,0,0,29.4,1.96,0,45.08,3.92,5.88,0,25.48,7.84,0,0,15.68,1.96,0,0,0,0,15.68,0,1.96,7.84,68.59,1.96,0,1.96,0,0,7.84,0,1.96,1.96,1.96,0,3.92,0,0,5.88,0,0
