stage,epidermis,erythrocytes,eye,glial,hatching.gland,heart,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0
 14-21,2,0,2,0,1,0,0,0,0,0,0,0,9,0,0,0,0,3,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0.82,15.6,0.82,0,0.82,0.82,4.93,0
 36-46,0,0,2.42,0.81,0,0,0,0,0,1.61,0,0,11.28,0,0,0,0,2.42,0
 48-58,0,0,6.89,1.15,0,0,0,0,0,1.72,0,0,13.77,0,0,0,0,0.57,0
 60-70,0,0,13.74,2.94,0,0,0,0,0,1.96,0,0,25.52,0.98,0,0,0,5.89,0
 72-82,0.98,0.98,5.89,0.98,0,0,0.98,0,0,5.89,0,0,6.87,0,0,0,0,0.98,0
 84-94,0,1.06,3.19,0,0,0,0,0,0,2.12,0,0,5.31,0,0,0,0,0,0
 96-106,0,0,4.37,3.28,0,1.09,0,0,0,1.09,0,2.19,8.74,0,0,4.37,0,0,0
108-118,0,0.77,3.06,1.53,0,0,0,0,0.77,3.83,0,1.53,9.19,0,0,0,0,0.77,0.77
120,0,0,0,0,0,0,0,1.96,0,0,1.96,3.92,5.88,0,0,1.96,0,0,0
