stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,13.14,0,0,15.77,0,0,0,13.14,0,0,0,0,0,0,42.06,5.26,0,0,28.92,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,25.18,0,0,3.15,0,0,0
 14-21,0,0,0,3,1,2,0,2,1,0,0,0,0,3,0,2,35,0,0,0,2,1,9,1,8,20,0
 24-34,0,0,0.82,0.82,0.82,5.75,0,4.1,0,0,0,0,0.82,16.42,0,4.93,119.84,0,7.39,0.82,0,0,0,0,4.93,35.3,2.46
 36-46,0,0,0,0,0,8.86,0.81,3.22,0.81,0,0,0.81,0.81,8.86,0,2.42,51.56,0,5.64,0,0,0,0,3.22,0,24.98,0.81
 48-58,0,0,0,0,0.57,7.46,0,5.74,0,0,0,0,0.57,14.35,0,1.72,32.71,0,2.87,0,0,0,0,0.57,0,12.05,0.57
 60-70,0,0,0,0,0,9.82,0,9.82,0.98,0,0,0,0,4.91,1.96,1.96,16.69,0,3.93,0.98,0,0,0,0,0,8.83,0.98
 72-82,0,0,0,1.96,0,4.91,0.98,10.8,0.98,0,0,0,0,9.82,0.98,1.96,3.93,0,7.85,0.98,0,0,0,0,0,2.94,0.98
 84-94,0,0,0,1.06,0,3.19,0,8.5,0,0,0,1.06,0,2.12,0,2.12,11.68,0,4.25,4.25,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,4.37,0,7.65,0,0,1.09,0,1.09,8.74,0,2.19,14.21,0,7.65,2.19,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,0,2.3,0,7.66,0,0,0,0,0.77,5.36,0,0.77,13.02,0,10.72,0.77,0,0,0,0,0,3.83,0
120,0,0,0,0,3.92,0,0,1.96,0,0,0,0,1.96,11.76,0,1.96,5.88,0,0,1.96,0,0,0,0,0,3.92,0
