stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,23.66,0,26.29,0,0,65.72,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,336.48,18.4,0,0,118.29,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,0,25.18,0,3.15,69.23,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,808.77,25.18,0,0,254.9,0,0,0,3.15,37.76,0,0,0,0,0,0,0
 14-21,0,0,1,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,43,0,0,1,0,0,0,0,9,1,1,2,20,0,0,0,0
 24-34,0,0,0,0,3.28,0,15.6,0,0,0,1.64,0,0,0.82,0,0.82,0,0,0,2.46,6.57,0.82,78.8,0,0.82,0.82,0,0,0.82,0,0,0.82,0,2.46,22.98,0,1.64,0,0.82
 36-46,0,0,0,0,1.61,0,16.92,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0.81,9.67,1.61,81.37,0,0.81,0,0,0,1.61,0,0,0,0,0,12.89,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,28.12,0,0,0,6.89,1.15,0,0.57,0,0.57,0,0,0,0,12.05,3.44,73.45,0,0,0.57,0,0,0,0,0,1.15,0,0,17.21,0,1.15,0,0
 60-70,0,0,0,0,5.89,0,25.52,0.98,0,0,13.74,0.98,0,0,0.98,1.96,0,0,0,0,9.82,1.96,62.82,0,0.98,0.98,0,0.98,0.98,0,0,0.98,0,0,7.85,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,48.1,0.98,0,1.96,9.82,0.98,0,0,0.98,0,0,0.98,1.96,0,24.54,0,64.79,0,0,3.93,0,0.98,0,0,0,0,0,0,1.96,0.98,4.91,0.98,0.98
 84-94,0,0,0,0,5.31,0,21.24,0,1.06,0,7.43,1.06,0,1.06,0,2.12,1.06,0,1.06,0,9.56,1.06,36.11,0,1.06,0,0,0,2.12,0,0,0,0,0,2.12,0,1.06,1.06,0
 96-106,0,0,0,0,1.09,0,16.39,0,0,0,3.28,0,0,2.19,2.19,0,1.09,0,0,0,5.46,8.74,26.23,0,0,0,0,0,2.19,0,0,0,0,0,0,0,2.19,1.09,0
108-118,0,0,0,0,0.77,0,7.66,0,0,0,1.53,0,0,0,0,0.77,0,0.77,0,0,3.83,0.77,16.85,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0.77
120,0,0,0,0,1.96,0,9.8,0,0,1.96,7.84,1.96,0,0,0,0,0,0,0,0,3.92,0,27.44,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
