stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,288.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,0,15.77,0,0,47.32,0,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,318.07,5.26,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,179.38,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,83,5,57,0,2,0,4,2,0,5,0,1,0,0,0,0,104,0,0,47,264,4,1,8,5,0,8,2,0,4,91,0,0,1,0,0
 24-34,0,0,0,0.82,47.61,2.46,180.59,0,5.75,2.46,17.24,2.46,0.82,13.13,0,0,0.82,0,0.82,0,164.17,0,0.82,65.67,293.87,7.39,0,4.1,0,0.82,34.48,0,0.82,7.39,105.89,0,0,1.64,0,0
 36-46,0,0,0,0,12.89,0.81,169.19,0,4.03,0.81,26.59,0.81,0,11.28,0,0,0,0,0,0,128.1,0.81,4.83,24.17,150.66,1.61,1.61,1.61,0,0.81,29,0,0,0,55.59,0,0.81,0.81,0,0
 48-58,0,0,0,0,13.77,0,207.72,0,4.02,2.3,58.53,0.57,0,8.61,0,0,0,0,0.57,0.57,102.71,2.3,7.46,22.38,88.37,2.87,0,6.31,0,2.3,14.35,0,0,0,47.05,0,0.57,1.15,0,0
 60-70,0,0,0,0,31.41,0,180.6,0,4.91,4.91,71.65,0,0,4.91,0,0.98,0.98,0.98,0,0,66.74,0,3.93,7.85,48.09,4.91,0,3.93,0,2.94,19.63,0,0.98,0,17.67,0,0,0.98,0,0.98
 72-82,0,0,0,0,37.3,0,129.58,0,10.8,5.89,102.09,0.98,0,1.96,0,1.96,0,0.98,0.98,0,102.09,4.91,4.91,12.76,62.83,3.93,0.98,10.8,0.98,3.93,33.38,0,0,0,6.87,2.94,1.96,2.94,0.98,0
 84-94,0,0,0,0,60.54,0,97.71,0,13.81,3.19,57.35,2.12,0,3.19,0,4.25,0,0,0,4.25,81.78,2.12,5.31,6.37,57.35,4.25,0,5.31,0,3.19,70.09,0,3.19,0,10.62,2.12,0,0,1.06,1.06
 96-106,0,0,0,0,61.2,0,79.78,1.09,25.14,2.19,81.96,4.37,0,3.28,1.09,3.28,0,0,2.19,2.19,65.57,6.56,13.11,7.65,53.55,1.09,9.84,19.67,0,1.09,69.94,0,0,0,4.37,2.19,3.28,5.46,1.09,0
108-118,0,0,0,0,75.06,1.53,89.62,0,19.15,1.53,35.23,1.53,0,1.53,0,3.06,0,0,1.53,0.77,64.34,3.83,1.53,8.43,56.68,2.3,0.77,11.49,0,0.77,65.87,0,0,0,3.83,2.3,1.53,0.77,0.77,1.53
120,0,0,1.96,0,72.51,0,86.23,0,27.44,3.92,39.2,1.96,0,0,0,5.88,0,0,1.96,0,52.91,7.84,5.88,5.88,43.12,0,0,1.96,0,0,64.67,0,0,0,1.96,1.96,1.96,0,0,0
