stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,3,2,0,0,0,40,0,0,0,0,0,5,0,0,0,20,17,0,0,8,53,1,122,0,0,0
 24-34,0,0,0,0,2.46,0,0.82,0,0.82,60.74,0,0,0,0,0,4.1,0.82,0,1.64,40.22,36.94,18.06,0,35.3,45.97,1.64,108.35,0,0,0
 36-46,0,0,0,0,0.81,0,3.22,0,0.81,29.81,0,0,0,0,0.81,0.81,0,0,0,41.09,4.03,24.17,0,19.34,21.75,0,58.01,0,0,0
 48-58,0,0,0,0,0,0,9.75,0.57,0,29.84,0,0,0,0,0.57,1.72,0,0.57,0,28.12,0.57,24.1,0,5.74,5.16,0,60.25,0,0,0
 60-70,0,0,0,0,0.98,0,4.91,0,0,21.59,0.98,0,0.98,0.98,0,0,0,0,0,24.54,0,7.85,0,4.91,2.94,0,37.3,0,0,0
 72-82,0,0,0,0,0,0,4.91,0,0,27.49,0.98,0,0,0,0,0,0,0,0,24.54,0,29.45,0,1.96,3.93,0,31.41,0,0,0.98
 84-94,0,0,1.06,1.06,1.06,1.06,4.25,0,0,29.74,1.06,0,0,0,0,1.06,0,0,0,15.93,0,14.87,0,15.93,5.31,0,24.43,0,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,18.58,0,0,0,0,1.09,1.09,0,0,0,13.11,0,18.58,0,13.11,1.09,0,15.3,0,1.09,0
108-118,0,0,0,0,0,0,3.06,0,0,18.38,0,0,0,0,0,0.77,0,0,0,15.32,0,19.92,0,4.6,4.6,0,10.72,0,0,0
120,0,0,0,1.96,3.92,0,3.92,0,0,7.84,0,0,0,1.96,0,3.92,0,0,0,29.4,0,21.56,0,1.96,1.96,0,11.76,1.96,1.96,0
