stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0.82,0,0,2.46,4.93,0,0,0,0,2.46,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,4.03,1.61,0.81,0,0,0.81,0.81,0.81,4.03,0,0
 48-58,0,0,0.57,0,0,0.57,1.15,0,0,0,0,0,1.15,0,0.57,0.57,5.74,0,0,1.15,0,0,0,1.15,1.15,0,0
 60-70,0,0,0,0.98,0,0,2.94,0,0.98,0.98,0,0,1.96,0,0,0,8.83,0,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,4.91,4.91,0,0,0,0.98,0,7.85,0,0.98,0.98,5.89,0,0,0,0,0.98,0,0.98,2.94,0,0
 84-94,0,0,0,0,0,3.19,0,0,0,0,0,1.06,2.12,0,0,0,6.37,0,1.06,0,0,0,0,0,2.12,0,0
 96-106,0,0,1.09,0,0,2.19,1.09,0,0,0,0,0,1.09,1.09,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0.77,0,0,0,0,0,0,5.36,0,0.77,0,3.06,0,0,0,0,1.53,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,1.96,0,0,0,1.96,0,1.96,0,5.88,0,0,0,0,0,0,0,0,1.96,0
