stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,2,8,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
 24-34,0,0,36.94,0,0,4.1,0,0.82,0,0,0,0.82,0,0,0.82,0,0,91.12,0,0,46.79,15.6,0.82,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0
 36-46,0,0,6.45,0,0,4.03,0,0.81,0.81,1.61,0,1.61,0,0,0,0,0,181.28,0,0,70.09,12.09,0,0,0,0,0,3.22,0,0.81,0.81,0,4.03,0,0,1.61,0,0.81
 48-58,0,0.57,10.33,0,0,8.61,0,0.57,2.87,1.72,0,2.87,0,0,0,0,0,243.87,0.57,0,59.1,14.92,0,0,0,0,0,0.57,0,0,0,0,1.72,0,1.72,0.57,0,0
 60-70,0,0,8.83,0,0,13.74,0,0.98,5.89,0.98,0,1.96,0,0,0,0,0.98,666.45,0,0.98,50.06,25.52,0,0.98,0.98,0,0,0,0,0,0,0,2.94,0,5.89,0.98,0,0
 72-82,0,0,6.87,0.98,0,53.99,0,0.98,10.8,6.87,0.98,1.96,0.98,0,0,0,0,1061.18,0.98,10.8,60.86,40.25,0.98,0,0.98,0,1.96,0.98,0,0,0,0,6.87,0,19.63,4.91,1.96,0
 84-94,0,0,16.99,1.06,0,74.34,1.06,2.12,9.56,5.31,0,3.19,2.12,1.06,0,1.06,0,768.92,0,8.5,32.92,19.12,0,2.12,0,0,1.06,1.06,0,1.06,1.06,0,3.19,0,20.18,0,0,0
 96-106,0,0,31.69,0,1.09,63.39,3.28,3.28,10.93,15.3,3.28,2.19,3.28,2.19,1.09,1.09,0,766.09,3.28,13.11,31.69,44.81,3.28,0,1.09,0,1.09,2.19,0,2.19,0,0,1.09,0,26.23,3.28,1.09,1.09
108-118,0,0,19.15,1.53,0,25.28,3.06,5.36,9.96,8.43,1.53,0.77,0,0,0,0,2.3,759.07,0.77,7.66,26.81,46.72,1.53,2.3,1.53,0,0.77,1.53,0,0,0,0,0.77,0.77,17.62,1.53,0.77,1.53
120,0,0,13.72,0,0,9.8,0,1.96,13.72,3.92,0,5.88,0,0,1.96,0,1.96,501.71,1.96,3.92,17.64,29.4,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,11.76,0,0,0
