stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,55.2,5.26,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,25.18,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,3,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,5.75,0,0,0.82,0,13.95,0,0,0.82,0,1.64,0,0
 36-46,0,0,0,0,0,2.42,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,15.31,0,0,0.81,0,9.67,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,1.72,6.31,2.3,0,0,0,0,0.57,0,0,0,2.3,0.57,0,2.3,14.35,0,0.57,1.15,0,2.3,0,0,2.3,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,8.83,19.63,0.98,0,0,0,0,0,0,0,0,2.94,0,0.98,5.89,13.74,0,0,0,0,7.85,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0.98,6.87,17.67,0,0,0,0.98,0,0,0,0,0,4.91,0,0,1.96,14.72,0,0,0,0,0.98,0,0,1.96,0,0.98,0,0
 84-94,0,0,0,1.06,1.06,6.37,29.74,3.19,0,0,0,1.06,0,1.06,0,0,2.12,0,0,7.43,8.5,0,0,1.06,0,2.12,0,0,1.06,0,0,0,0
 96-106,0,0,0,3.28,0,7.65,38.25,1.09,1.09,0,0,1.09,0,0,0,0,3.28,0,0,4.37,15.3,0,2.19,2.19,1.09,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,1.53,0,3.06,31.4,2.3,0.77,0,0,0.77,0,0,0.77,0.77,2.3,0,0,4.6,11.49,0,0,4.6,0,1.53,0,0,0,0.77,0.77,0,0
120,0,0,0,0,0,1.96,39.2,1.96,0,0,0,0,0,0,1.96,0,1.96,0,0,0,7.84,0,0,7.84,0,0,0,0,0,0,0,0,0
