stage,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,1,1,0,0,1,0,0,0,0,1,1,0,0,1,6,0,0,0,0,0,2,3,2,0,0,0
 24-34,0.82,0,1.64,0,0,0.82,0,0,0,0,0.82,0,0,0.82,16.42,0,0,0.82,0,0,0,0,1.64,0,0,1.64
 36-46,0.81,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0.81,4.83,0,0,0,0,0,0,0,4.03,0,1.61,0.81
 48-58,1.72,0,1.15,0.57,0.57,0,0,0.57,0,0,2.3,0,0,1.15,1.72,0,0,0.57,0,0,0,0,1.15,0,0.57,0.57
 60-70,0.98,0,0,0,1.96,0,0,0,0,0,7.85,0,0,0,0,0.98,0.98,0,0,0.98,0,0,1.96,0,0.98,1.96
 72-82,0,0,0,0,3.93,0,0,0,0.98,0,4.91,0.98,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,2.12,0,0,1.06,0,0,0,0,0,0,5.31,1.06,0,1.06,2.12,0,0,0,0,0,0,0,1.06,0,2.12,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,3.28,0,0,1.09,1.09,1.09,0,0,0,1.09,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0,0,0,0,0,0,0,1.53,0.77,0.77,0,1.53,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,1.96,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
