stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,16,4,10,0,0,0,2,1,0,0,0,0,0,0,0,5,0,6,88,0,0,3,4,0,16,1,0,6,28,0,0,0,0
 24-34,0,0,0,1.64,0.82,8.21,0,0,0,0.82,0,0,1.64,0,0,0,0,0,9.85,0,6.57,105.89,0.82,0.82,2.46,0,5.75,0,0,0.82,1.64,18.06,0,0,1.64,0
 36-46,0,0,0,0.81,0,13.7,0,0,0.81,4.03,0,0,0,0,0,0,0,0,17.72,0,6.45,73.32,0.81,0,0.81,0,3.22,0,0.81,0,0,20.95,0,0,1.61,0
 48-58,0,0,0,1.15,0,19.51,0,0,0.57,3.44,0.57,0,0.57,0.57,0,0,0.57,0,10.33,0,2.3,30.99,1.15,0.57,0,0,1.15,0,0.57,0,0,10.33,0,0,2.3,0
 60-70,0,0,0,1.96,0,19.63,0,0.98,0,12.76,1.96,0,0,0,0,0.98,0,0,8.83,0,0,53,0.98,0,0,0,2.94,0,0,0.98,0,6.87,0,0,1.96,0
 72-82,0,0,0,0,0,12.76,0,0,0,6.87,0.98,0,0.98,0,0.98,0,0.98,0,24.54,0,2.94,33.38,0.98,0.98,0.98,0,1.96,0,0.98,0,0,2.94,0,0.98,1.96,0.98
 84-94,0,0,0,2.12,0,12.74,0,1.06,0,2.12,2.12,0,0,0,1.06,1.06,0,0,9.56,1.06,0,15.93,0,0,2.12,0,6.37,0,0,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,0,3.28,0,1.09,0,3.28,1.09,0,0,0,0,1.09,0,0,6.56,1.09,2.19,10.93,0,1.09,0,0,4.37,0,2.19,0,0,0,1.09,0,2.19,0
108-118,0,0,0,3.83,0.77,6.89,0.77,0,0,4.6,0.77,0,0,1.53,0,0,0,0.77,6.89,0.77,0.77,13.79,0,0,1.53,0,2.3,0,0.77,0,0,0.77,0,1.53,3.06,0
120,0,0,0,7.84,0,7.84,0,1.96,0,11.76,3.92,0,0,0,0,0,0,1.96,3.92,1.96,1.96,15.68,0,0,1.96,0,7.84,0,0,0,0,0,1.96,0,1.96,0
