stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,2,3,0,0,0,1,4,1,0,0,0,0,0,0,10,0,0,2,22,0,0,0,0,1,2,1,0,4,10,0,0,0,0,0
 24-34,0,0.82,0.82,0.82,0.82,5.75,0,0,1.64,0.82,0,0,0,0,0,0,0,0,17.24,0,0,4.93,135.44,0,0.82,6.57,0,0.82,0,5.75,0,0.82,19.7,0,0,0.82,0,0.82
 36-46,0,0,0,2.42,0,8.86,1.61,0,9.67,2.42,0,0,0,0,0,0,0,0.81,12.89,0,0.81,8.06,214.31,0,1.61,4.83,0,4.83,0,2.42,1.61,0,24.98,0,0,1.61,0,0
 48-58,0,0,0,2.87,0,21.23,1.15,0,6.89,0.57,0,0.57,0,0.57,2.3,0.57,1.15,0.57,17.21,0,0,6.89,302.4,0,1.72,5.16,0,1.15,0,6.89,0.57,0,23.53,0,0,1.15,0,0
 60-70,0,0,0,3.93,0,46.13,0,0,8.83,1.96,0,0,0,0.98,9.82,0.98,0,0,17.67,0,0.98,6.87,536.89,0,4.91,1.96,0,0.98,0,6.87,0.98,0,40.24,0,0,0,0,0.98
 72-82,0,1.96,0,0.98,1.96,79.51,1.96,0,9.82,13.74,0.98,0,0.98,0,9.82,0,1.96,0,52.03,0.98,0.98,7.85,527.15,0,7.85,3.93,0,6.87,0,28.47,0,0,34.36,0,0,1.96,0.98,0
 84-94,0,0,0,15.93,1.06,69.03,2.12,0,8.5,7.43,1.06,1.06,0,1.06,16.99,1.06,3.19,0,30.8,0,0,5.31,279.32,0,1.06,4.25,0,30.8,0,75.4,3.19,0,15.93,0,1.06,1.06,1.06,0
 96-106,0,3.28,0,7.65,3.28,67.76,1.09,1.09,5.46,10.93,0,0,1.09,0,22.95,4.37,1.09,0,43.71,0,1.09,1.09,236.05,0,7.65,8.74,0,14.21,0,64.48,0,0,3.28,1.09,0,2.19,1.09,0
108-118,0,0,0,9.96,0,56.68,2.3,1.53,12.26,9.19,3.06,0,1.53,0.77,41.36,1.53,4.6,0,30.64,0,0.77,3.06,273.45,0,5.36,8.43,0,20.68,0,56.68,1.53,0,2.3,0.77,0.77,0.77,3.06,0
120,0,0,0,9.8,5.88,54.87,1.96,0,3.92,7.84,1.96,0,0,0,17.64,0,11.76,0,29.4,3.92,0,0,288.09,1.96,1.96,11.76,0,15.68,0,27.44,1.96,0,5.88,1.96,0,5.88,0,1.96
