stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,1,0,0,6,1,0,2,0,0,0,0,0,0,4,0,0,0,0,3,1,29,0,1,1,0,3,1,1,12,0,0,0
 24-34,0,0,0.82,1.64,0.82,0,7.39,0,0.82,0,0,0,0,4.93,0.82,1.64,6.57,1.64,5.75,1.64,62.39,0,1.64,0,5.75,0,0.82,0,13.13,0,0,0.82
 36-46,0,0,0,0.81,0,0,21.75,0,0,0.81,1.61,0,0.81,0.81,0,0,4.03,0,4.03,0,72.51,0,0,0,3.22,0,0,0,16.92,0,0,0.81
 48-58,0,0,0,0.57,0.57,0,25.25,0,0,1.15,2.3,0,0,0.57,0,0,0.57,0,6.31,1.72,35,0,0,0,0,0,0,0,9.18,0,0,0
 60-70,0,0,0,3.93,0,0,27.48,0,0,0,3.93,0,0,0,0,0,0.98,0,5.89,0.98,33.37,0.98,0.98,0,2.94,0,0,0,5.89,0,0,0
 72-82,0,0,0,1.96,0,0,15.71,0.98,0,0,1.96,0,0,1.96,0,0.98,3.93,0,6.87,1.96,28.47,0,0,0,0.98,0.98,0,0,2.94,0,0,0
 84-94,0,0,0,2.12,0,1.06,9.56,0,0,0,1.06,2.12,0,2.12,0,0,10.62,1.06,7.43,1.06,5.31,0,1.06,0,3.19,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,2.19,0,0,16.39,0,0,1.09,3.28,0,1.09,0,0,0,22.95,0,7.65,2.19,16.39,0,0,0,2.19,0,0,0,2.19,0,0,0
108-118,0,0.77,0,0.77,0.77,0.77,6.89,0,0,0.77,0.77,0.77,0,1.53,1.53,0,59.75,0,0.77,0,21.45,0,0,0,2.3,0,0.77,0,0,0,0,0.77
120,0,0,0,3.92,5.88,0,5.88,0,0,0,3.92,1.96,0,1.96,0,1.96,54.87,0,0,1.96,11.76,0,0,0,3.92,0,0,0,1.96,1.96,0,0
