stage,axial,eye,fast_muscle,melanocytes,mesenchyme,muscle,neural,notochord,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,1,5,3,0,0,0,0
 24-34,0,0.82,0,0,0,0,3.28,0.82,3.28,0,0.82,0,0,0
 36-46,0,0,1.61,0,0,0,3.22,0,2.42,0,0,0,0,0
 48-58,0,0,3.44,0.57,0,0,4.02,0.57,2.87,0,0,0,0,0
 60-70,0,0,1.96,0,0.98,0.98,4.91,0,7.85,0,0,0,0,0.98
 72-82,0,1.96,0,0,0,0.98,1.96,0,1.96,0,0,0,0,0
 84-94,0,0,2.12,0,1.06,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,5.46,0,0,0,0,0,5.46,0,0,1.09,0,0
108-118,0,1.53,3.06,0,0.77,3.06,0,0,3.06,0,0.77,0,0.77,0
120,0,0,7.84,0,0,0,0,0,3.92,0,0,0,0,0
