stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1
 24-34,0,0,0.82,2.46,2.46,0,0,0,0,0,0,0,0,0,0,4.1,0.82,0,0.82,0,0.82,0,0,1.64,0,0
 36-46,0,0,0.81,0,0.81,0,0,0.81,0,0,0,0,0.81,0,0.81,10.47,0,0,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,2.3,1.15,1.72,1.72,0,0,0,0,0,0,1.15,0,0,4.59,1.72,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,11.78,1.96,0.98,9.82,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0.98,0
 72-82,0,0,10.8,2.94,0,10.8,0.98,0,0,1.96,0,0,3.93,0,0,1.96,0,0,0,0,0,1.96,0,0.98,0,0
 84-94,0,0,38.23,1.06,5.31,2.12,1.06,0,0,1.06,0,0,5.31,0,0,1.06,0,0,0,0,1.06,3.19,1.06,2.12,3.19,0
 96-106,0,0,62.29,0,6.56,3.28,6.56,0,1.09,0,0,0,0,2.19,0,1.09,1.09,0,1.09,0,0,1.09,1.09,0,1.09,0
108-118,0,0,45.96,0.77,4.6,3.83,7.66,0,0,0.77,0.77,0,0.77,0.77,0,1.53,2.3,0,0,0,0,6.13,0,0,1.53,0
120,0,0,23.52,0,3.92,3.92,3.92,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0
