stage,blastomeres,erythrocytes,eye,hatching.gland,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0
  5-6,128.72,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,7.89,0,0,76.23,7.89,13.14,0,0
 10-12,0,0,3.15,3.15,0,31.47,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0.82,0.82,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0.57,1.15,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0,0,1.53,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0
