stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,6,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,38,1,0,0,0,0,0,8,2,4,9,20,0,0,0,0,0
 24-34,0,0,1.64,2.46,0,10.67,0.82,0,0,2.46,0,0.82,0,0,0,0.82,0,0,10.67,0,5.75,105.89,3.28,0,0,0,0.82,0,0,0,3.28,3.28,26.27,0,0,3.28,0,0
 36-46,0,0,0,2.42,0,36.26,8.06,0,0,3.22,0,0,0,0,0,0,0,0,11.28,0,9.67,99.1,3.22,0,0,0,0.81,0,0,0,6.45,0,31.42,0,0,1.61,0,0.81
 48-58,0,0,0,1.72,0,50.49,14.35,0,0.57,4.59,0,0.57,0,0,0,0,0,0,15.49,1.72,2.87,90.09,1.72,0.57,0,0,1.15,0,0,0,8.61,0,26.4,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,100.12,25.52,0,0.98,27.48,0.98,0,0,0,0,0,0.98,0,17.67,0,4.91,147.23,0.98,0,0,0.98,0,0,0,0,8.83,0,24.54,0,0.98,1.96,0,0
 72-82,0,0,0.98,2.94,0,112.89,9.82,0,1.96,19.63,0,0,0.98,0,0,0,0,0,19.63,3.93,5.89,142.34,0,1.96,0,0,0,0,0,0,1.96,0,12.76,0,0,0.98,0.98,0
 84-94,0,1.06,0,2.12,1.06,72.22,19.12,0,0,22.3,0,0,1.06,1.06,0,0,1.06,0,18.05,3.19,9.56,64.78,2.12,0,0,0,2.12,1.06,0,0,9.56,0,10.62,1.06,1.06,2.12,1.06,0
 96-106,0,0,0,3.28,1.09,67.76,34.97,0,0,10.93,1.09,0,0,0,0,1.09,0,0,15.3,2.19,3.28,54.64,1.09,1.09,0,1.09,3.28,0,0,1.09,4.37,0,2.19,0,0,3.28,0,0
108-118,0,0,0,1.53,0,52.09,20.68,0.77,0.77,15.32,1.53,0,0.77,0.77,0,0.77,0.77,0.77,14.55,2.3,6.13,72.77,0,0,0,0,0,0,0,0,5.36,0,1.53,1.53,0,0.77,1.53,0
120,0,0,0,1.96,0,47.03,19.6,1.96,0,15.68,0,0,0,0,3.92,0,0,0,11.76,1.96,9.8,84.27,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
