stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,liver,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,10.51,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,43.51,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,2.42,0,0,0.81,23.36,0.81,0.81,0
 48-58,0,0,0.57,0,0.57,0,0,0.57,0,0,0.57,0,0,2.87,0,0,0,24.1,0.57,0,0
 60-70,0,0,0,0,1.96,0,0.98,2.94,0,0,1.96,0,0,2.94,0,0,0,25.52,0.98,0,0
 72-82,0,0,0,0.98,3.93,0,0,23.56,0,0,1.96,0,0,9.82,0,0,0,39.27,0,0,0
 84-94,0,1.06,0,0,1.06,0,0,33.99,0,0,1.06,0,0,3.19,0,0,1.06,86.03,0,0,0
 96-106,0,0,1.09,1.09,4.37,2.19,1.09,144.26,0,1.09,3.28,0,0,28.41,0,0,1.09,100.54,0,1.09,2.19
108-118,0,0,3.06,0.77,2.3,0,1.53,229.79,0,1.53,2.3,0.77,1.53,24.51,0.77,0,0.77,104.94,0,0,0
120,0,0,1.96,1.96,3.92,1.96,0,125.43,0,1.96,0,0,0,31.36,0,0,0,64.67,0,0,0
