stage,axial,blastomeres,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,neural,olfactory,otic,spinal.cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,1.64,2.46,5.75,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,4.03,3.22,2.42,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0,0,1.72,0,0,2.87,0,3.44,0.57,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,4.91,0,0,4.91,0.98,9.82,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,9.82,0.98,0.98,3.93,0.98,17.67,0,0
 84-94,0,0,0,2.12,0,0,1.06,1.06,0,1.06,11.68,0,0,2.12,0,33.99,0,1.06
 96-106,0,0,0,1.09,1.09,0,0,0,1.09,0,20.76,0,0,2.19,0,41.53,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0.77,13.79,0,0,5.36,0,26.81,0,0.77
120,0,0,1.96,0,0,0,0,0,1.96,1.96,13.72,0,0,3.92,0,27.44,1.96,0
