stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,4,0,0,8,17,59,0,1,0,0,1,3,0,376,456,9,0,0,0,0
 24-34,0,0,0,5.75,1.64,0,12.31,207.68,0,0,1.64,0,0,3.28,0,0,0,0,0,0.82,12.31,0,0,28.73,107.53,13.95,1.64,0.82,0,0,5.75,0,0.82,216.71,343.12,15.6,0,0.82,0,0.82
 36-46,0,0,0,1.61,0,0,12.89,397.19,0,0.81,4.83,0,0,0.81,1.61,0,0.81,0,0,1.61,5.64,0,0,16.11,73.32,8.06,0.81,0.81,0,0,3.22,0,0,168.38,20.14,16.92,0,0.81,0,0
 48-58,0,0,0,1.15,0.57,0,31.56,388.47,0.57,1.15,5.16,0,0,1.15,0,0,0,0,0,0.57,9.18,0,0,28.69,75.17,3.44,0,0,0,0,1.15,0.57,0,132.55,0,20.66,0,1.72,0,1.72
 60-70,0,0,0.98,0.98,0.98,0,34.35,262.07,0.98,0,6.87,0,0,0.98,0.98,0,0,0,0,3.93,6.87,0.98,1.96,24.54,53,4.91,0,1.96,0.98,0,2.94,0,0,80.48,0,6.87,0,0.98,0,1.96
 72-82,0,0,0,0.98,3.93,0,28.47,209.09,0,1.96,6.87,0,0,0,0,0,0.98,0.98,0.98,0,16.69,0,0,32.39,43.19,0,0,0.98,0,0,2.94,0,0,49.08,0,3.93,0,0,1.96,2.94
 84-94,0,0,0,3.19,2.12,0,21.24,305.87,0,0,3.19,2.12,0,0,0,0,1.06,0,1.06,0,6.37,1.06,0,31.86,28.68,0,0,0,0,0,9.56,0,0,77.53,0,4.25,0,1.06,1.06,0
 96-106,0,0,0,3.28,5.46,0,29.51,442.6,0,0,5.46,0,0,1.09,2.19,0,1.09,0,3.28,0,21.86,0,1.09,33.88,36.06,2.19,0,2.19,0,1.09,6.56,0,0,86.33,0,1.09,0,2.19,1.09,0
108-118,0,0,0,1.53,0.77,1.53,13.79,389.11,0,0,4.6,0,0,0.77,1.53,0,0.77,0,0.77,2.3,11.49,0.77,0,55.92,33.7,2.3,0,1.53,0,0,8.43,0,0.77,71.23,0,0.77,0.77,0.77,0,1.53
120,0,0,0,3.92,0,0,9.8,186.18,1.96,0,0,1.96,0,1.96,0,1.96,3.92,0,1.96,0,13.72,0,0,56.83,17.64,1.96,0,0,0,0,1.96,1.96,0,29.4,0,1.96,0,0,0,1.96
