stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0,43,0,0,0,0,0
 24-34,1.64,0,0,0,0,4.1,0,0,0,1.64,0,0,0,0,0,0.82,0,4.1,0,0.82,279.91,0,18.88,0.82,2.46,0,0.82,132.16,0,0,1.64,0,0
 36-46,0,0,0.81,0,0,30.62,0,0,0,4.03,0,0,0,0,0,0,0.81,1.61,0,1.61,646.95,0,16.92,0,0,0,0,180.47,0,0,0,0,0.81
 48-58,0,0,2.3,0,0,103.28,1.72,0,1.15,13.77,0,0,0,0.57,0,0.57,0.57,6.89,0,1.15,812.51,0,10.9,1.15,1.72,0,0,189.36,0,0,1.15,0,2.3
 60-70,0,0,0.98,0.98,0,244.4,0,0.98,0,22.58,0,0.98,0,0.98,0,0,0,7.85,0,1.96,1099.3,0,8.83,0,3.93,0,0,138.39,0,0,1.96,0,4.91
 72-82,0,0,9.82,4.91,0,332.78,0,0,2.94,20.61,0.98,2.94,0,1.96,0,0,0.98,29.45,0,1.96,989.52,0,26.5,0.98,2.94,0.98,0,83.44,2.94,1.96,2.94,0.98,2.94
 84-94,1.06,0,8.5,2.12,0,195.41,0,1.06,3.19,24.43,2.12,2.12,0,1.06,0,0,0,14.87,1.06,2.12,460.92,0,6.37,0,5.31,0,0,29.74,4.25,0,1.06,0,1.06
 96-106,1.09,0,8.74,3.28,0,170.48,1.09,0,0,27.32,0,1.09,0,0,1.09,1.09,0,16.39,1.09,3.28,403.26,1.09,17.49,1.09,6.56,0,0,18.58,3.28,1.09,2.19,0,2.19
108-118,0,0.77,5.36,0.77,0,154.72,0,1.53,1.53,17.62,1.53,2.3,0.77,3.83,0,0,0,8.43,0,0.77,452.68,0,11.49,2.3,3.83,0,0,16.09,7.66,0,0.77,0,0.77
120,0,0,11.76,0,1.96,107.79,3.92,0,1.96,13.72,0,0,0,0,0,1.96,0,9.8,0,0,533.06,0,11.76,1.96,0,0,0,17.64,1.96,1.96,1.96,0,1.96
