stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,0,1,0,0,5,2,0,2,50,5,0,0,7,0,0
 24-34,0,0,0,5.75,0,0,1.64,0.82,0,0.82,4.1,0,0,2.46,0.82,0,0,0,0,0,1.64,0,0,1.64,11.49,2.46,0,6.57,0,0,17.24,0,2.46,2.46,36.12,9.03,0,0,23.8,0,0
 36-46,0,0,0.81,0,1.61,0,8.06,3.22,0,0.81,8.06,0,0,0.81,0,0.81,0,0,0,0,8.86,0,0,3.22,15.31,0.81,0,4.03,0,0,12.89,0,2.42,0,0.81,20.95,0,0,10.47,0,0.81
 48-58,0,0,0,3.44,0,0,71.15,4.02,0,0,21.23,0,0,0.57,0.57,0,0,0,0.57,0,15.49,0,1.72,1.72,22.95,0.57,0,6.31,0,0,14.35,0,0.57,0.57,0,22.38,0,0,13.77,0,1.72
 60-70,0,0,0.98,3.93,0,0,333.72,3.93,0.98,1.96,36.32,0,0,0,0,0.98,0,0,0.98,0,15.7,0,1.96,3.93,37.3,0.98,0,2.94,0,0,6.87,0,1.96,0,0,10.8,0,0,16.69,0,0.98
 72-82,0,0,1.96,12.76,0,0,599.8,1.96,0.98,1.96,40.25,4.91,0.98,1.96,0,0,0,2.94,0.98,0.98,17.67,0,2.94,2.94,88.35,0.98,0.98,18.65,0,0.98,7.85,0,0.98,0,0,28.47,1.96,0,27.49,2.94,3.93
 84-94,0,0,0,22.3,1.06,0,521.46,2.12,0,0,22.3,5.31,1.06,0,0,0,0,2.12,1.06,0,14.87,0,4.25,2.12,55.23,1.06,0,19.12,0,2.12,37.17,0,1.06,0,0,10.62,2.12,0,29.74,3.19,3.19
 96-106,0,0,1.09,13.11,2.19,0,524.57,2.19,0,0,27.32,8.74,0,0,0,1.09,2.19,4.37,0,0,19.67,0,3.28,2.19,86.33,2.19,3.28,16.39,0,0,38.25,0,0,1.09,0,12.02,2.19,4.37,30.6,2.19,2.19
108-118,0,0,3.83,25.28,1.53,0,364.6,1.53,0.77,0,19.15,7.66,0,0,3.06,1.53,3.06,5.36,2.3,0,13.02,0.77,4.6,2.3,86.55,0,0.77,15.32,0,0.77,30.64,0,2.3,0,0,11.49,2.3,0,22.98,0.77,2.3
120,0,0,0,45.08,3.92,1.96,352.76,3.92,3.92,0,29.4,7.84,1.96,1.96,3.92,1.96,0,1.96,0,0,11.76,0,0,7.84,97.99,0,0,11.76,0,0,35.28,0,1.96,1.96,0,11.76,3.92,0,17.64,0,0
