stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,2.63,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,1
 36-46,0,0,0.81,0,0,0.81,0,0.81,0,0,0,0.81
 48-58,0,0.57,0,0,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,6.87,0,0,0,0,0,0,0
 84-94,0,0,0,0,5.31,0,0,1.06,0,0,0,0
 96-106,0,1.09,0,1.09,8.74,0,1.09,2.19,0,0,1.09,0
108-118,0,0,0.77,0,6.13,0,0.77,1.53,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0
